target_stable_id,category,verification_scope,requirement_type,requires_count,requires_native_order,requires_evidence_reference,requires_front_view,requires_secondary_angle_sample,requires_duplicate_exception_review,requires_production_candidate_review,blind_phase_required,notes
CF27_XBOXUNKNOWN_RTG_EYECOLOR_005,Eye Color,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_EYECOLOR_006,Eye Color,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_EYECOLOR_007,Eye Color,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_EYESHAPE_001,Eye Shape,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_EYESHAPE_002,Eye Shape,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_EYESHAPE_003,Eye Shape,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_EYESHAPE_004,Eye Shape,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_EYESHAPE_005,Eye Shape,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_FACIALHAIRCOLOR_PURPLE,Facial-hair colors,catalogItem,CANDIDATE_RECORD,false,false,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_FACIALHAIR_MUTTON_CHOPS,Facial hair,catalogItem,CANDIDATE_RECORD,false,false,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HAIRCOLOR_LIGHT_BROWN,Hair colors,catalogItem,CANDIDATE_RECORD,false,false,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY,Hairstyles,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_001,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_002,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_003,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_004,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_005,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_006,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_007,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_008,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_009,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_010,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_011,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_012,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,true,false,false,Duplicate or ambiguous record requires explicit exception review.
CF27_XBOXUNKNOWN_RTG_HEAD_013,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_014,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_016,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,true,false,false,Duplicate or ambiguous record requires explicit exception review.
CF27_XBOXUNKNOWN_RTG_HEAD_017,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_018,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_021,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_022,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_023,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_024,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_027,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_028,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_029,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_030,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_HEAD_031,Heads,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_JAWSHAPE_SQUARE,Jaw Shape,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_MOUTHSHAPE_HEAVY,Mouth Shape,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_NOSE_001,Nose,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_NOSE_002,Nose,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_NOSE_003,Nose,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_NOSE_004,Nose,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_NOSE_005,Nose,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,true,false,false,Duplicate or ambiguous record requires explicit exception review.
CF27_XBOXUNKNOWN_RTG_NOSE_006,Nose,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_NOSE_007,Nose,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_001,Skin Details,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002,Skin Details,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003,Skin Details,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_004,Skin Details,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005,Skin Details,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_006,Skin Details,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_007,Skin Details,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_008,Skin Details,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_009,Skin Details,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_010,Skin Details,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_001,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_002,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_003,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_004,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_006,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_007,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_008,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_009,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_010,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,true,false,false,Duplicate or ambiguous record requires explicit exception review.
CF27_XBOXUNKNOWN_RTG_SKINTONE_011,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_012,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_013,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_017,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_018,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_019,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_020,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_021,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_022,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,true,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_023,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_024,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
CF27_XBOXUNKNOWN_RTG_SKINTONE_029,Skin Tone,catalogItem,CANDIDATE_RECORD,false,true,true,true,false,false,false,false,Record-level review happens only after independent counts are complete.
