package_id,phase,target_stable_id,category,native_order_or_observed_order,visible_label_or_index,source_video_id,source_timestamp_range,evidence_ids,verifier_record_fields_status,verifier_evidence_files_status,verifier_final_disposition,notes
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EYESHAPE_001,Eye Shape,1,Almond,phase0-video-006,14-14,phase0-frame-video-006-tl-002,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EYESHAPE_002,Eye Shape,2,None,phase0-video-006,15-16,phase0-frame-video-006-tl-003,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EYESHAPE_003,Eye Shape,3,Prominent,phase0-video-006,17-18,phase0-frame-video-006-tl-004,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EYESHAPE_004,Eye Shape,4,Monolid,phase0-video-006,19-19,phase0-frame-video-006-tl-005,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_EYESHAPE_005,Eye Shape,5,Hooded,phase0-video-006,20-24.93,phase0-frame-video-006-tl-006,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_FACIALHAIRCOLOR_PURPLE,Facial-hair colors,,Purple,CF27_XBOX_SOURCE_2026_08_02_002,225-235.35,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-005,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_FACIALHAIR_MUTTON_CHOPS,Facial hair,,Mutton Chops,CF27_XBOX_SOURCE_2026_08_02_002,175-224,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-004,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HAIRCOLOR_LIGHT_BROWN,Hair colors,,Light Brown,CF27_XBOX_SOURCE_2026_08_02_002,100-174,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-003,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY,Hairstyles,1,Short Curly,CF27_XBOX_SOURCE_2026_08_02_002,5-99,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-002,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_001,Heads,1,Face 1,phase0-video-002,10-19,phase0-frame-video-002-tl-004,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_002,Heads,2,Face 2,phase0-video-002,20-28,phase0-frame-video-002-tl-005,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_003,Heads,3,Face 3,phase0-video-002,29-38,phase0-frame-video-002-tl-006,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_004,Heads,4,Face 4,phase0-video-002,39-48,phase0-frame-video-002-tl-007,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_005,Heads,5,Face 5,phase0-video-002,69-74,phase0-frame-video-002-tl-011,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_006,Heads,6,Face 6,phase0-video-002,60-68,phase0-frame-video-002-tl-010,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_007,Heads,7,Face 7,phase0-video-002,54-59,phase0-frame-video-002-tl-009,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_008,Heads,8,Face 8,phase0-video-002,49-53,phase0-frame-video-002-tl-008,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_009,Heads,9,Face 9,phase0-video-002,75-79,phase0-frame-video-002-tl-012,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_010,Heads,10,Face 10,phase0-video-002,80-88,phase0-frame-video-002-tl-013,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_011,Heads,11,Face 11,phase0-video-002,89-94,phase0-frame-video-002-tl-014,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_012,Heads,12,Face 12,phase0-video-003,0-4,phase0-frame-video-002-tl-015;phase0-frame-video-003-tl-001,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_013,Heads,13,Face 13,phase0-video-003,21-29,phase0-frame-video-003-tl-004,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_014,Heads,14,Face 14,phase0-video-003,14-20,phase0-frame-video-003-tl-003,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_016,Heads,16,Face 16,phase0-video-003,5-13,phase0-frame-video-003-tl-002;phase0-frame-video-002-tl-016,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_017,Heads,17,Face 17,phase0-video-003,30-39,phase0-frame-video-003-tl-005,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_018,Heads,18,Face 18,phase0-video-003,40-49,phase0-frame-video-003-tl-006,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_021,Heads,21,Face 21,phase0-video-003,80-89,phase0-frame-video-003-tl-010,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_022,Heads,22,Face 22,phase0-video-003,70-79,phase0-frame-video-003-tl-009,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_023,Heads,23,Face 23,phase0-video-003,50-59,phase0-frame-video-003-tl-007,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_024,Heads,24,Face 24,phase0-video-003,60-69,phase0-frame-video-003-tl-008,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_027,Heads,27,Face 27,phase0-video-003,90-99,phase0-frame-video-003-tl-011,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_028,Heads,28,Face 28,phase0-video-003,100-109,phase0-frame-video-003-tl-012,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_029,Heads,29,Face 29,phase0-video-003,127-133.02,phase0-frame-video-003-tl-015,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_030,Heads,30,Face 30,phase0-video-003,120-126,phase0-frame-video-003-tl-014,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_HEAD_031,Heads,31,Face 31,phase0-video-003,110-119,phase0-frame-video-003-tl-013,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_JAWSHAPE_SQUARE,Jaw Shape,2,Square,CF27_XBOX_SOURCE_2026_08_02_001,220-229,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-010,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_MOUTHSHAPE_HEAVY,Mouth Shape,7,Heavy,CF27_XBOX_SOURCE_2026_08_02_001,210-219,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-009,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_NOSE_001,Nose,1,None,phase0-video-008,15-15,phase0-frame-video-008-tl-003,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_NOSE_002,Nose,2,Hooked,phase0-video-008,16-18,phase0-frame-video-008-tl-004,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_NOSE_003,Nose,3,Button,phase0-video-008,19-20,phase0-frame-video-008-tl-005,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_NOSE_004,Nose,4,Nubian,phase0-video-008,21-22,phase0-frame-video-008-tl-006,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_NOSE_005,Nose,5,Aquiline,phase0-video-008,14-14,phase0-frame-video-008-tl-002;phase0-frame-video-008-tl-009,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_NOSE_006,Nose,6,Roman,phase0-video-008,25-27,phase0-frame-video-008-tl-008,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_NOSE_007,Nose,7,Funnel,phase0-video-008,23-24,phase0-frame-video-008-tl-007,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_001,Skin Details,1,None,phase0-video-005,8-8,phase0-frame-video-005-tl-002,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002,Skin Details,2,Freckles 2,phase0-video-005,9-10,phase0-frame-video-005-tl-003,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003,Skin Details,3,Scar 3,phase0-video-005,11-14,phase0-frame-video-005-tl-004,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_004,Skin Details,4,Scar 2,phase0-video-005,15-16,phase0-frame-video-005-tl-005,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005,Skin Details,5,Scar 1,phase0-video-005,23-24,phase0-frame-video-005-tl-009,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_006,Skin Details,6,Acne Scar 1,phase0-video-005,21-22,phase0-frame-video-005-tl-008,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_007,Skin Details,7,Redness 3,phase0-video-005,19-20,phase0-frame-video-005-tl-007,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_008,Skin Details,8,Redness 2,phase0-video-005,17-18,phase0-frame-video-005-tl-006,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_009,Skin Details,9,Redness 1,phase0-video-005,25-26,phase0-frame-video-005-tl-010,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_010,Skin Details,10,Freckles 1,phase0-video-005,27-31.72,phase0-frame-video-005-tl-011,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_001,Skin Tone,1,Skin Tone 01,phase0-video-004,45-46,phase0-frame-video-004-tl-019,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_002,Skin Tone,2,Skin Tone 02,phase0-video-004,47-47,phase0-frame-video-004-tl-020,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_003,Skin Tone,3,Skin Tone 03,phase0-video-004,48-49,phase0-frame-video-004-tl-021,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_004,Skin Tone,4,Skin Tone 04,phase0-video-004,12-13,phase0-frame-video-004-tl-003,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_006,Skin Tone,6,Skin Tone 06,phase0-video-004,29-30,phase0-frame-video-004-tl-011,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
