stableInternalID,nativeOrder,visibleGameLabelOrIndex,priority,currentEvidenceUse,recaptureReason,requiredViews,optionalViews
CF27_XBOXUNKNOWN_RTG_HEAD_011,11,Face 11,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_012,12,Face 12,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_013,13,Face 13,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_014,14,Face 14,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_015,15,Face 15,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_016,16,Face 16,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_017,17,Face 17,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_018,18,Face 18,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_019,19,Face 19,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_020,20,Face 20,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_021,21,Face 21,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_022,22,Face 22,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_023,23,Face 23,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_024,24,Face 24,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_025,25,Face 25,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_026,26,Face 26,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_027,27,Face 27,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_028,28,Face 28,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
CF27_XBOXUNKNOWN_RTG_HEAD_029,29,Face 29,HIGH,Keep current recordings as research identity/order/menu evidence and provenance for selected labels.,"Current evidence is valid for selected Head Template identity, native order, and menu proof, but it is not standardized enough for production comparison or matching measurements.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|RIGHT_3Q|RIGHT_PROFILE|REAR,ELEVATED|LOWERED
