queueID,priority,group,title,ownerRecordingInstructions,requiredEvidence,optionalEvidence,acceptanceCriteria,existingEvidenceRemainsUseful,existingEvidenceUsefulness,sourceReferences,blocksProduction,status
RQ-011,P1,Uncaptured face menus,Complete Chin menu capture,"Navigate to Chin if present and record every selected native value in order, with front and profile/three-quarter evidence where available. Capture first, middle, final, and wrap/boundary evidence.",Category entry|Every selected Chin value|Front and side/three-quarter evidence|Boundary or wrap evidence,,No Chin values are inferred from neighboring thumbnails|Native labels/indices are readable or sent to manual review|Count is proven,true,"Existing hierarchy evidence suggests Chin is visible, but the category values still need direct selected evidence.",data/research/cf27/video_timeline_index.json|data/research/cf27/exports/partial-research-catalog-current/research_catalog_manifest.json,true,open
RQ-012,P1,Hair,Open and map the complete Hair menu,"From Appearance, enter Hair and record the full submenu hierarchy before selecting options. Capture all visible categories, native order, control type, whether later editable, and dependencies or locks.",Hair menu entry|Full submenu list|Scroll continuation if any|Control type evidence,,Hair controls are discovered from direct menu evidence|No category is pre-populated as confirmed|Locked/unavailable controls are documented,true,Existing Road to Glory path footage shows Hair as a visible menu item but does not open it; it remains useful only as path evidence.,data/research/cf27/exports/partial-research-catalog-current/issues_and_exceptions.csv|data/research/cf27/exports/partial-research-catalog-current/research_catalog_manifest.json,true,open
RQ-013,P1,Hair,Capture complete Hairstyles catalog,"Within Hair, record every hairstyle deliberately selected in native order using the canonical head and canonical hair color. Capture menu evidence, front, left three-quarter, left profile, rear, right profile, and right three-quarter views where available.",MENU|FRONT|LEFT_3Q|LEFT_PROFILE|REAR|RIGHT_PROFILE|RIGHT_3Q,,Native order and count are proven|Canonical head and hair color are visible/recorded|Dependencies or unlocks are recorded,true,Existing videos do not provide a complete Hair menu or hairstyle catalog. Existing head footage may help choose a non-obstructing canonical head after review.,data/research/cf27/exports/partial-research-catalog-current/research_catalog_manifest.json,true,open
RQ-014,P1,Hair,Capture Hair Colors,Record every hair-color control value in native order with the canonical hairstyle and head. Capture menu evidence and a stable representative character frame for each value.,Every selected Hair Color value|Representative character frame|Boundary or wrap evidence,,Native labels/indices are preserved|Lighting/capture conditions are constant|Color observations are objective metadata only,true,Existing current videos do not prove hair-color values. They remain useful for path and non-hair categories only.,data/research/cf27/exports/partial-research-catalog-current/research_catalog_manifest.json,true,open
RQ-015,P1,Facial hair,"Capture complete Facial Hair menu, including None","Navigate to facial-hair controls if present. Record None and every other deliberately selected option in native order using canonical head, hairstyle, and facial-hair color. Capture required angle views and menu evidence.",None option evidence if present|Every selected Facial Hair value|Front and side/three-quarter evidence|Boundary or wrap evidence,,Native order and count are proven|Coverage metadata stays researcher-applied and separate from native labels|Dependencies are recorded,true,Existing head footage cannot be treated as facial-hair catalog evidence because facial-hair controls were not independently locked or audited.,data/research/cf27/reports/head-template-standardization-qa/head_template_standardization_qa_report.json|data/research/cf27/exports/partial-research-catalog-current/research_catalog_manifest.json,true,open
RQ-016,P1,Facial hair,Capture Facial Hair Colors,Record every facial-hair color control value in native order using a canonical visible facial-hair option. Capture menu label/index evidence and stable face frames under constant lighting.,Every selected Facial Hair Color value|Representative character frame|Boundary or wrap evidence,,Values are not inferred from hair color controls|Color observations are objective metadata only|Dependencies with facial-hair style are recorded,true,Existing videos do not prove facial-hair color values. They remain useful for non-facial-hair research only.,data/research/cf27/exports/partial-research-catalog-current/research_catalog_manifest.json,true,open
RQ-017,P1,Body and physique,Record Physique controls,"In the Road to Glory creation path, record every physique/body-shape control that affects player appearance. Preserve exact native labels, indices, ranges, default values, and dependencies.",Physique menu entry|Every control value or range boundary|Default/reset evidence|Representative character frames where useful,,"Controls are categorized as geometry, texture, color, or presentation-only effects|No slider range is guessed|Position/archetype dependencies are noted",true,Existing path footage proves the route into player creation but does not audit physique controls.,data/research/cf27/exports/partial-research-catalog-current/research_catalog_manifest.json,false,open
RQ-018,P1,Body and physique,"Record Height, Weight, and Body Type controls","Record height, weight, and body type controls from the selected Road to Glory creation path. Capture min, max, step, default, restrictions, and whether values affect available appearance options.",Height min/max/default|Weight min/max/default|Body Type values or range|Restriction/dependency evidence,,No ranges are inferred|Position and archetype used during capture are recorded|Dependency checks are queued if values change appearance menus,true,"Existing path evidence records QB/Create Player context but does not prove height, weight, or body type ranges.",data/research/cf27/exports/partial-research-catalog-current/research_catalog_manifest.json,false,open
RQ-019,P1,Selector validation,Run selector wrap and boundary tests for every captured category,"For Head Template, Skin Tone, Skin Details, Eye Shape, Eye Color, Nose, Ear Shape, and future categories, record first value, final value, and wrap/no-wrap behavior. Include deliberate navigation steps and avoid relying on thumbnail visibility.",First value|Final value|Wrap or boundary behavior|Navigation notes,,Complete counts are only claimed when boundary/wrap is proven|Repeated selections and jumps are documented|Native order remains intact,true,"Existing recordings provide many selected values and sequence-review suggestions, but several categories still need explicit boundary or wrap proof before production.",data/research/cf27/reports/native-sequence-integrity/native_sequence_human_review_queue.json|data/research/cf27/exports/partial-research-catalog-current/recapture_queue.csv,true,open
RQ-020,P1,Dependency checks,"Run dependency checks across platform, mode, position, archetype, height, weight, body type, online state, EA account state, edition, entitlements, and patch","Use the dependency-test runner matrix: record a baseline, change one variable at a time, capture expected versus observed behavior, and document count/order/label/geometry changes with evidence.",Baseline recording|Changed-variable recording|Observed count/order/label changes|Remaining uncertainty notes,,Each run changes only one variable where practical|No dependency is promoted from assumption|Unresolved dependencies create issues or recapture requests,true,"Existing current videos provide a single research environment and path baseline, but they do not prove whether other states change catalog availability.",data/research/cf27/exports/partial-research-catalog-current/issues_and_exceptions.csv|data/research/cf27/exports/partial-research-catalog-current/research_catalog_manifest.json,true,open
RQ-021,P2,Manual text review,Review OCR/manual-label queue for readable native labels,"For Skin Details, Eye Shape, Eye Color, Nose, and Ear Shape labels already extracted into the OCR review queue, visually inspect the original frame and targeted crop before confirming or correcting each native label.",Original menu frame|Targeted label crop|Reviewer confirmation,,OCR output is not accepted without visual confirmation|Low-confidence labels remain queued|Native labels are preserved exactly as shown,true,Existing extracted menu frames and crops remain useful for manual label confirmation; they are not production-verified without review.,data/research/cf27/reports/ocr-native-label-review/manual_label_review_queue.json,true,open
RQ-022,P2,Current captured categories,Recapture Nose category with standardized profile evidence,"Repeat Nose options under the canonical capture configuration, preserving native order and capturing menu evidence, front, best three-quarter, and true profile views when available.",MENU|FRONT|LEFT_3Q or RIGHT_3Q|LEFT_PROFILE or RIGHT_PROFILE|Boundary or wrap evidence,,Profile view availability is proven or explicitly unavailable|Current labels are confirmed by direct selected evidence|No subjective trait labels are added,true,"Existing Nose footage remains useful for selected labels/order and current research candidates, but current frames are not standardized production comparison captures.",data/research/cf27/exports/partial-research-catalog-current/recapture_queue.csv,true,open
RQ-023,P2,Current captured categories,Recapture Ear Shape with unobstructed side evidence where possible,Repeat Ear Shape options with a hairstyle that exposes ears if the game allows. Capture menu evidence and side/three-quarter evidence sufficient to determine left/right ear visibility.,MENU|Left or right side evidence|Hair obstruction state|Boundary or wrap evidence,,Do not claim both ears evaluated unless both are visible|Hair obstruction is recorded|Selector completeness is proven,true,"Existing Ear Shape footage remains useful for selected labels/order, but hair obstruction and one-sided visibility limit production comparison.",data/research/cf27/exports/partial-research-catalog-current/recapture_queue.csv,true,open
RQ-024,P2,Current captured categories,"Confirm Skin Tone, Skin Details, Eye Shape, and Eye Color boundaries and representative frames","For each currently captured category, record deliberate first-to-final selection evidence, wrap/no-wrap behavior, and stable representative frames under consistent lighting. Keep native labels/indices separate from researcher metadata.",First value evidence|Final value evidence|Wrap/no-wrap evidence|Representative frames,,Counts are proven by boundary evidence|Manual-label queue items are resolved|Color/texture observations remain objective metadata,true,"Existing recordings provide primary research candidates for Skin Tone, Skin Details, Eye Shape, and Eye Color, but production use still requires boundary confirmation, label review, and second verification.",data/research/cf27/exports/partial-research-catalog-current/research_catalog_manifest.json|data/research/cf27/reports/ocr-native-label-review/manual_label_review_queue.json|data/research/cf27/reports/native-sequence-integrity/native_sequence_human_review_queue.json,true,open
