recapture_id,game,category,suspected_option,exact_missing_evidence,recommended_capture_sequence,source_evidence_that_caused_request,reason,status
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_COMPLEXION_SELECTOR_BOUNDARIES_NOT_PROVEN_COMPLEXION_9,ea-sports-fc-26,Complexion,Complexion 9,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_SKIN_SURFACE_SELECTOR_BOUNDARIES_NOT_PROVEN_SKIN_SURFACE_18,ea-sports-fc-26,Skin Surface,Skin Surface 18,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_SKIN_SURFACE_SELECTOR_BOUNDARIES_NOT_PROVEN_SKIN_SURFACE_27,ea-sports-fc-26,Skin Surface,Skin Surface 27,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_SKIN_SURFACE_SELECTOR_BOUNDARIES_NOT_PROVEN_SKIN_SURFACE_36,ea-sports-fc-26,Skin Surface,Skin Surface 36,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_SKIN_SURFACE_SELECTOR_BOUNDARIES_NOT_PROVEN_SKIN_SURFACE_41,ea-sports-fc-26,Skin Surface,Skin Surface 41,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_SKIN_SURFACE_SELECTOR_BOUNDARIES_NOT_PROVEN_SKIN_SURFACE_51,ea-sports-fc-26,Skin Surface,Skin Surface 51,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_SKIN_SURFACE_SELECTOR_BOUNDARIES_NOT_PROVEN_SKIN_SURFACE_3,ea-sports-fc-26,Skin Surface,Skin Surface 3,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_FRECKLES_SELECTOR_BOUNDARIES_NOT_PROVEN_NONE,ea-sports-fc-26,Freckles,None,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_FRECKLES_SELECTOR_BOUNDARIES_NOT_PROVEN_FRECKLES_2,ea-sports-fc-26,Freckles,Freckles 2,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_FRECKLES_SELECTOR_BOUNDARIES_NOT_PROVEN_FRECKLES_12,ea-sports-fc-26,Freckles,Freckles 12,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_FRECKLES_SELECTOR_BOUNDARIES_NOT_PROVEN_FRECKLES_3,ea-sports-fc-26,Freckles,Freckles 3,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_SCARRING_SELECTOR_BOUNDARIES_NOT_PROVEN_SCARRING_9,ea-sports-fc-26,Scarring,Scarring 9,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_SCARRING_SELECTOR_BOUNDARIES_NOT_PROVEN_SCARRING_18,ea-sports-fc-26,Scarring,Scarring 18,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_SCARRING_SELECTOR_BOUNDARIES_NOT_PROVEN_SCARRING_26,ea-sports-fc-26,Scarring,Scarring 26,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_SCARRING_SELECTOR_BOUNDARIES_NOT_PROVEN_SCARRING_36,ea-sports-fc-26,Scarring,Scarring 36,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_MOLES_SELECTOR_BOUNDARIES_NOT_PROVEN_MOLES_2,ea-sports-fc-26,Moles,Moles 2,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_MOLES_SELECTOR_BOUNDARIES_NOT_PROVEN_MOLES_7,ea-sports-fc-26,Moles,Moles 7,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_ROSACEA_SELECTOR_BOUNDARIES_NOT_PROVEN_ROSACEA_5,ea-sports-fc-26,Rosacea,Rosacea 5,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_FACE_MAKEUP_SELECTOR_BOUNDARIES_NOT_PROVEN_FACE_MAKEUP_2,ea-sports-fc-26,Face Makeup,Face Makeup 2,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_LIP_MAKEUP_SELECTOR_BOUNDARIES_NOT_PROVEN_NONE,ea-sports-fc-26,Lip Makeup,None,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_FOREHEAD_SELECTOR_BOUNDARIES_NOT_PROVEN_FOREHEAD_1002,ea-sports-fc-26,Forehead,Forehead 1002,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_FOREHEAD_SELECTOR_BOUNDARIES_NOT_PROVEN_FOREHEAD_294,ea-sports-fc-26,Forehead,Forehead 294,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_FOREHEAD_SELECTOR_BOUNDARIES_NOT_PROVEN_FOREHEAD_23,ea-sports-fc-26,Forehead,Forehead 23,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_FOREHEAD_SELECTOR_BOUNDARIES_NOT_PROVEN_FOREHEAD_175,ea-sports-fc-26,Forehead,Forehead 175,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_FOREHEAD_SELECTOR_BOUNDARIES_NOT_PROVEN_FOREHEAD_304,ea-sports-fc-26,Forehead,Forehead 304,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_FOREHEAD_SELECTOR_BOUNDARIES_NOT_PROVEN_FOREHEAD_9,ea-sports-fc-26,Forehead,Forehead 9,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_JAW_SELECTOR_BOUNDARIES_NOT_PROVEN_JAW_226,ea-sports-fc-26,Jaw,Jaw 226,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_JAW_SELECTOR_BOUNDARIES_NOT_PROVEN_JAW_260,ea-sports-fc-26,Jaw,Jaw 260,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_JAW_SELECTOR_BOUNDARIES_NOT_PROVEN_JAW_9,ea-sports-fc-26,Jaw,Jaw 9,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_JAW_SELECTOR_BOUNDARIES_NOT_PROVEN_JAW_151,ea-sports-fc-26,Jaw,Jaw 151,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_JAW_SELECTOR_BOUNDARIES_NOT_PROVEN_JAW_294,ea-sports-fc-26,Jaw,Jaw 294,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_JAW_SELECTOR_BOUNDARIES_NOT_PROVEN_JAW_1002,ea-sports-fc-26,Jaw,Jaw 1002,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_EARS_SELECTOR_BOUNDARIES_NOT_PROVEN_EARS_175,ea-sports-fc-26,Ears,Ears 175,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_EARS_SELECTOR_BOUNDARIES_NOT_PROVEN_EARS_249,ea-sports-fc-26,Ears,Ears 249,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_EARS_SELECTOR_BOUNDARIES_NOT_PROVEN_EARS_1006,ea-sports-fc-26,Ears,Ears 1006,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_EARS_SELECTOR_BOUNDARIES_NOT_PROVEN_EARS_194,ea-sports-fc-26,Ears,Ears 194,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_EARS_SELECTOR_BOUNDARIES_NOT_PROVEN_EARS_170,ea-sports-fc-26,Ears,Ears 170,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_CHEEKS_SELECTOR_BOUNDARIES_NOT_PROVEN_CHEEKS_202,ea-sports-fc-26,Cheeks,Cheeks 202,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_CHEEKS_SELECTOR_BOUNDARIES_NOT_PROVEN_CHEEKS_299,ea-sports-fc-26,Cheeks,Cheeks 299,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_CHEEKS_SELECTOR_BOUNDARIES_NOT_PROVEN_CHEEKS_43,ea-sports-fc-26,Cheeks,Cheeks 43,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_CHEEKS_SELECTOR_BOUNDARIES_NOT_PROVEN_CHEEKS_203,ea-sports-fc-26,Cheeks,Cheeks 203,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_CHEEKS_SELECTOR_BOUNDARIES_NOT_PROVEN_CHEEKS_226,ea-sports-fc-26,Cheeks,Cheeks 226,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_CHIN_SELECTOR_BOUNDARIES_NOT_PROVEN_CHIN_226,ea-sports-fc-26,Chin,Chin 226,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_CHIN_SELECTOR_BOUNDARIES_NOT_PROVEN_CHIN_268,ea-sports-fc-26,Chin,Chin 268,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_CHIN_SELECTOR_BOUNDARIES_NOT_PROVEN_CHIN_1003,ea-sports-fc-26,Chin,Chin 1003,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_CHIN_SELECTOR_BOUNDARIES_NOT_PROVEN_CHIN_118,ea-sports-fc-26,Chin,Chin 118,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_CHIN_SELECTOR_BOUNDARIES_NOT_PROVEN_CHIN_1001,ea-sports-fc-26,Chin,Chin 1001,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_NECK_SELECTOR_BOUNDARIES_NOT_PROVEN_NECK_241,ea-sports-fc-26,Neck,Neck 241,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_NECK_SELECTOR_BOUNDARIES_NOT_PROVEN_NECK_304,ea-sports-fc-26,Neck,Neck 304,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
RECAPTURE_GFM_MEDIA_FC26_6AB6BFCA771C_NECK_SELECTOR_BOUNDARIES_NOT_PROVEN_NECK_52,ea-sports-fc-26,Neck,Neck 52,"First option, final option, wrap behavior, and full native order","Open the category from the canonical creation path, pause on the first visible option, move one option at a time through the final option, demonstrate wrap behavior only if safe, and keep labels or indices visible.",GFM_MEDIA_FC26_6AB6BFCA771C,selector_boundaries_not_proven,REQUESTED_NOT_CAPTURED
