segment_id,source_media_id,start_timestamp,end_timestamp,suspected_game,suspected_mode,suspected_creation_path,suspected_category,suspected_menu_label,suspected_option_label,suspected_option_index,extraction_confidence,extraction_methods,evidence_frame_references,review_status,notes
SEG_GFM_MEDIA_CF27_BDD75F0CE953_0004,GFM_MEDIA_CF27_BDD75F0CE953,120,144,cf27,Road to Glory Create Player,Create Player > Player,skin_details,Skin Details,Selected skin-detail labels visible in recording; representative frame only.,,medium,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_004_skin_details_125p5s.png,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,Skin Details traversal is present but this ingest does not replace the existing category catalog without per-label review.
SEG_GFM_MEDIA_CF27_BDD75F0CE953_0005,GFM_MEDIA_CF27_BDD75F0CE953,145,159,cf27,Road to Glory Create Player,Create Player > Player,eye_shape,Eye Shape,Selected eye-shape label visible in recording; representative frame only.,,medium,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_005_eye_shape_155p5s.png,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,Eye Shape traversal is present but boundaries and every selected value still require normal category review.
SEG_GFM_MEDIA_CF27_BDD75F0CE953_0006,GFM_MEDIA_CF27_BDD75F0CE953,160,184,cf27,Road to Glory Create Player,Create Player > Player,eye_color,Eye Color,Selected eye-color labels visible in recording; representative frame only.,,medium,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_006_eye_color_170p5s.png,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,Eye Color traversal is present. This clip supplements but does not replace existing category evidence review.
SEG_GFM_MEDIA_CF27_BDD75F0CE953_0007,GFM_MEDIA_CF27_BDD75F0CE953,185,199,cf27,Road to Glory Create Player,Create Player > Player,nose,Nose,Selected nose labels visible in recording; representative frame only.,,medium,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_007_nose_190p5s.png,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,Nose traversal is present but duplicate/order concerns remain a later review task.
SEG_GFM_MEDIA_CF27_BDD75F0CE953_0008,GFM_MEDIA_CF27_BDD75F0CE953,200,209,cf27,Road to Glory Create Player,Create Player > Player,ear_shape,Ear Shape,Selected ear-shape label visible in recording; representative frame only.,,medium,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_008_ear_shape_205p5s.png,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,Ear Shape appears briefly; frame is useful for menu/category traceability but does not prove both ears or full category completion.
SEG_GFM_MEDIA_CF27_BDD75F0CE953_0009,GFM_MEDIA_CF27_BDD75F0CE953,210,219,cf27,Road to Glory Create Player,Create Player > Player,mouth_shape,Mouth Shape,Heavy,,high,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_009_mouth_shape_215p5s.png,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,"Selected native Mouth Shape label Heavy is directly readable; grid appears fully visible, but production still needs second verification."
SEG_GFM_MEDIA_CF27_BDD75F0CE953_0010,GFM_MEDIA_CF27_BDD75F0CE953,220,229,cf27,Road to Glory Create Player,Create Player > Player,jaw_shape,Jaw Shape,Square,,high,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_010_jaw_shape_225p5s.png,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,"Selected native Jaw Shape label Square is directly readable; grid appears fully visible, but production still needs second verification."
SEG_GFM_MEDIA_CF27_BDD75F0CE953_0011,GFM_MEDIA_CF27_BDD75F0CE953,230,240.24,cf27,Road to Glory Create Player,Create Player > Player,chin,Chin,Square,,high,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_011_chin_235p0s.png,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,"Selected native Chin label Square is directly readable; grid appears fully visible, but production still needs second verification."
SEG_GFM_MEDIA_CF27_BDD75F0CE953_0002,GFM_MEDIA_CF27_BDD75F0CE953,5,64,cf27,Road to Glory Create Player,Create Player > Player,head_template,Head Template,Face values visible during traversal,,medium,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_002_head_template_5p5s.png,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,Head Template selector is traversed; new clip reinforces existing head/menu evidence but does not independently resolve complete count or duplicate review.
SEG_GFM_MEDIA_CF27_BDD75F0CE953_0003,GFM_MEDIA_CF27_BDD75F0CE953,65,119,cf27,Road to Glory Create Player,Create Player > Player,skin_tone,Skin Tone,Skin Tone 20,,high,existing_cf27_august_timeline|human_research_prior_to_generic_ingest,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_003_skin_tone_82p0s.png,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,Skin Tone selector is directly visible; selected Skin Tone 20 frame is useful as supplemental evidence only because prior category completeness still requires boundary verification.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_EYE_COLOUR_0,GFM_MEDIA_FC26_0C758EB69716,00:00:00.000,00:00:03.000,fc26,Player Creator,Player Creator,eye_colour,Eye Colour,Light Blue,,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_EYES_0,GFM_MEDIA_FC26_0C758EB69716,00:00:00.000,00:00:03.000,fc26,Player Creator,Player Creator,eyes,Eyes,Eyes 299,299,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_EYEBROWS_0,GFM_MEDIA_FC26_0C758EB69716,00:00:00.000,00:00:03.000,fc26,Player Creator,Player Creator,eyebrows,Eyebrows,Eyebrows 268,268,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_EYES_5,GFM_MEDIA_FC26_0C758EB69716,00:00:05.000,00:00:08.000,fc26,Player Creator,Player Creator,eyes,Eyes,Eyes 1005,1005,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_EYES_10,GFM_MEDIA_FC26_0C758EB69716,00:00:10.000,00:00:13.000,fc26,Player Creator,Player Creator,eyes,Eyes,Eyes 93,93,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_EYES_15,GFM_MEDIA_FC26_0C758EB69716,00:00:15.000,00:00:18.000,fc26,Player Creator,Player Creator,eyes,Eyes,Eyes 268,268,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_EYES_20,GFM_MEDIA_FC26_0C758EB69716,00:00:20.000,00:00:23.000,fc26,Player Creator,Player Creator,eyes,Eyes,Eyes 23,23,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_EYEBROWS_25,GFM_MEDIA_FC26_0C758EB69716,00:00:25.000,00:00:28.000,fc26,Player Creator,Player Creator,eyebrows,Eyebrows,Eyebrows 304,304,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_EYES_30,GFM_MEDIA_FC26_0C758EB69716,00:00:30.000,00:00:33.000,fc26,Player Creator,Player Creator,eyes,Eyes,Eyes 116,116,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_EYEBROWS_40,GFM_MEDIA_FC26_0C758EB69716,00:00:40.000,00:00:43.000,fc26,Player Creator,Player Creator,eyebrows,Eyebrows,Eyebrows 1004,1004,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_NOSE_40,GFM_MEDIA_FC26_0C758EB69716,00:00:40.000,00:00:43.000,fc26,Player Creator,Player Creator,nose,Nose,Nose 203,203,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_NOSE_45,GFM_MEDIA_FC26_0C758EB69716,00:00:45.000,00:00:48.000,fc26,Player Creator,Player Creator,nose,Nose,Nose 226,226,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_NOSE_50,GFM_MEDIA_FC26_0C758EB69716,00:00:50.000,00:00:53.000,fc26,Player Creator,Player Creator,nose,Nose,Nose 1004,1004,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_NOSE_55,GFM_MEDIA_FC26_0C758EB69716,00:00:55.000,00:00:58.000,fc26,Player Creator,Player Creator,nose,Nose,Nose 116,116,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_NOSE_60,GFM_MEDIA_FC26_0C758EB69716,00:01:00.000,00:01:03.000,fc26,Player Creator,Player Creator,nose,Nose,Nose 1002,1002,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_MOUTH_60,GFM_MEDIA_FC26_0C758EB69716,00:01:00.000,00:01:03.000,fc26,Player Creator,Player Creator,mouth,Mouth,Mouth 226,226,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_MOUTH_65,GFM_MEDIA_FC26_0C758EB69716,00:01:05.000,00:01:08.000,fc26,Player Creator,Player Creator,mouth,Mouth,Mouth 304,304,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_MOUTH_70,GFM_MEDIA_FC26_0C758EB69716,00:01:10.000,00:01:13.000,fc26,Player Creator,Player Creator,mouth,Mouth,Mouth 241,241,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_NOSE_75,GFM_MEDIA_FC26_0C758EB69716,00:01:15.000,00:01:18.000,fc26,Player Creator,Player Creator,nose,Nose,Nose 294,294,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_MOUTH_75,GFM_MEDIA_FC26_0C758EB69716,00:01:15.000,00:01:18.000,fc26,Player Creator,Player Creator,mouth,Mouth,Mouth 1001,1001,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_MOUTH_80,GFM_MEDIA_FC26_0C758EB69716,00:01:20.000,00:01:23.000,fc26,Player Creator,Player Creator,mouth,Mouth,Mouth 170,170,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_TEETH_80,GFM_MEDIA_FC26_0C758EB69716,00:01:20.000,00:01:23.000,fc26,Player Creator,Player Creator,teeth,Teeth,Teeth 6,6,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_TEETH_85,GFM_MEDIA_FC26_0C758EB69716,00:01:25.000,00:01:28.000,fc26,Player Creator,Player Creator,teeth,Teeth,Teeth 2,2,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_HAIR_COLOUR_90,GFM_MEDIA_FC26_0C758EB69716,00:01:30.000,00:01:33.000,fc26,Player Creator,Player Creator,hair_colour,Hair Colour,Black,,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_HAIR_STYLE_GROUP_90,GFM_MEDIA_FC26_0C758EB69716,00:01:30.000,00:01:33.000,fc26,Player Creator,Player Creator,hair_style_group,Hair Style group,Medium,,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_HAIR_STYLE_90,GFM_MEDIA_FC26_0C758EB69716,00:01:30.000,00:01:33.000,fc26,Player Creator,Player Creator,hair_style,Hair Style,Hair Style 30,30,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_HAIR_EYEBROW_FACIAL_HAIR_COLOUR_90,GFM_MEDIA_FC26_0C758EB69716,00:01:30.000,00:01:33.000,fc26,Player Creator,Player Creator,eyebrow_facial_hair_colour,Eyebrow & Facial Hair Colour,Golden,,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_HAIR_COLOUR_100,GFM_MEDIA_FC26_0C758EB69716,00:01:40.000,00:01:43.000,fc26,Player Creator,Player Creator,hair_colour,Hair Colour,Medium Brown,,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_FACE_EYEBROWS_105,GFM_MEDIA_FC26_0C758EB69716,00:01:45.000,00:01:48.000,fc26,Player Creator,Player Creator,eyebrows,Eyebrows,Eyebrows 115,115,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_HAIR_STYLE_105,GFM_MEDIA_FC26_0C758EB69716,00:01:45.000,00:01:48.000,fc26,Player Creator,Player Creator,hair_style,Hair Style,Hair Style 504,504,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_HAIR_COLOUR_110,GFM_MEDIA_FC26_0C758EB69716,00:01:50.000,00:01:53.000,fc26,Player Creator,Player Creator,hair_colour,Hair Colour,Pastel Pink,,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_HAIR_STYLE_115,GFM_MEDIA_FC26_0C758EB69716,00:01:55.000,00:01:58.000,fc26,Player Creator,Player Creator,hair_style,Hair Style,Hair Style 396,396,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_HAIR_STYLE_GROUP_120,GFM_MEDIA_FC26_0C758EB69716,00:02:00.000,00:02:03.000,fc26,Player Creator,Player Creator,hair_style_group,Hair Style group,Short,,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_HAIR_STYLE_120,GFM_MEDIA_FC26_0C758EB69716,00:02:00.000,00:02:03.000,fc26,Player Creator,Player Creator,hair_style,Hair Style,Hair Style 392,392,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_HAIR_STYLE_125,GFM_MEDIA_FC26_0C758EB69716,00:02:05.000,00:02:08.000,fc26,Player Creator,Player Creator,hair_style,Hair Style,Hair Style 543,543,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_HAIR_STYLE_130,GFM_MEDIA_FC26_0C758EB69716,00:02:10.000,00:02:13.000,fc26,Player Creator,Player Creator,hair_style,Hair Style,Hair Style 93,93,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_HAIR_STYLE_135,GFM_MEDIA_FC26_0C758EB69716,00:02:15.000,00:02:18.000,fc26,Player Creator,Player Creator,hair_style,Hair Style,Hair Style 431,431,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_HAIR_STYLE_140,GFM_MEDIA_FC26_0C758EB69716,00:02:20.000,00:02:23.000,fc26,Player Creator,Player Creator,hair_style,Hair Style,Hair Style 65,65,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_HAIR_STYLE_GROUP_145,GFM_MEDIA_FC26_0C758EB69716,00:02:25.000,00:02:28.000,fc26,Player Creator,Player Creator,hair_style_group,Hair Style group,Long,,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_HAIR_STYLE_145,GFM_MEDIA_FC26_0C758EB69716,00:02:25.000,00:02:28.000,fc26,Player Creator,Player Creator,hair_style,Hair Style,Hair Style 233,233,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_HAIR_STYLE_150,GFM_MEDIA_FC26_0C758EB69716,00:02:30.000,00:02:33.000,fc26,Player Creator,Player Creator,hair_style,Hair Style,Hair Style 184,184,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
SEG_GFM_MEDIA_FC26_0C758EB69716_FC26_HAIR_STYLE_155,GFM_MEDIA_FC26_0C758EB69716,00:02:35.000,00:02:38.000,fc26,Player Creator,Player Creator,hair_style,Hair Style,Hair Style 62,62,verified,existing_fc26_player_creator_research,,AUTOMATED_IMPORTED_REQUIRES_PRIMARY_REVIEW,FC26 observation imported from existing research data; not production verified.
