suggestionID,category,code,priority,severity,timelineIDs,labels,nativeOrders,confidence,message,reviewAction,factStatus
seq-skinTone-reversedMovement-video_004_tl_012_video_004_tl_013_Skin_Tone_29_Skin_Tone_24_29_24,Skin Tone,reversedMovement,high,review,video-004-tl-012|video-004-tl-013,Skin Tone 29|Skin Tone 24,29|24,0.8,Chronological selection moved backward from native order 29 to 24.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-skinTone-reversedMovement-video_004_tl_013_video_004_tl_014_Skin_Tone_24_Skin_Tone_22_24_22,Skin Tone,reversedMovement,high,review,video-004-tl-013|video-004-tl-014,Skin Tone 24|Skin Tone 22,24|22,0.8,Chronological selection moved backward from native order 24 to 22.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-skinTone-reversedMovement-video_004_tl_014_video_004_tl_015_Skin_Tone_22_Skin_Tone_17_22_17,Skin Tone,reversedMovement,high,review,video-004-tl-014|video-004-tl-015,Skin Tone 22|Skin Tone 17,22|17,0.8,Chronological selection moved backward from native order 22 to 17.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-skinTone-reversedMovement-video_004_tl_015_video_004_tl_016_Skin_Tone_17_Skin_Tone_13_17_13,Skin Tone,reversedMovement,high,review,video-004-tl-015|video-004-tl-016,Skin Tone 17|Skin Tone 13,17|13,0.8,Chronological selection moved backward from native order 17 to 13.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-skinTone-reversedMovement-video_004_tl_016_video_004_tl_017_Skin_Tone_13_Skin_Tone_10_13_10,Skin Tone,reversedMovement,high,review,video-004-tl-016|video-004-tl-017,Skin Tone 13|Skin Tone 10,13|10,0.8,Chronological selection moved backward from native order 13 to 10.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-skinTone-reversedMovement-video_004_tl_018_video_004_tl_019_Skin_Tone_12_Skin_Tone_01_12_1,Skin Tone,reversedMovement,high,review,video-004-tl-018|video-004-tl-019,Skin Tone 12|Skin Tone 01,12|1,0.8,Chronological selection moved backward from native order 12 to 1.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-skinTone-selectedLabelOutsideCandidateScope-video_004_tl_012_Skin_Tone_29,Skin Tone,selectedLabelOutsideCandidateScope,high,review,video-004-tl-012,Skin Tone 29,,0.9,Skin Tone 29 is deliberately selected in the timeline but is not present in the current candidate records.,"Review source evidence before creating, excluding, or deferring this candidate record.",review_suggestion_not_verified_game_fact
seq-skinTone-skippedIndices-video_004_tl_002_video_004_tl_003_Skin_Tone_09_Skin_Tone_04_9_4,Skin Tone,skippedIndices,high,review,video-004-tl-002|video-004-tl-003,Skin Tone 09|Skin Tone 04,9|4,0.75,Chronological selection jumped by -5 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-skinTone-skippedIndices-video_004_tl_003_video_004_tl_004_Skin_Tone_04_Skin_Tone_10_4_10,Skin Tone,skippedIndices,high,review,video-004-tl-003|video-004-tl-004,Skin Tone 04|Skin Tone 10,4|10,0.75,Chronological selection jumped by 6 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-skinTone-skippedIndices-video_004_tl_004_video_004_tl_005_Skin_Tone_10_Skin_Tone_20_10_20,Skin Tone,skippedIndices,high,review,video-004-tl-004|video-004-tl-005,Skin Tone 10|Skin Tone 20,10|20,0.75,Chronological selection jumped by 10 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-skinTone-skippedIndices-video_004_tl_008_video_004_tl_009_Skin_Tone_21_Skin_Tone_08_21_8,Skin Tone,skippedIndices,high,review,video-004-tl-008|video-004-tl-009,Skin Tone 21|Skin Tone 08,21|8,0.75,Chronological selection jumped by -13 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-skinTone-skippedIndices-video_004_tl_011_video_004_tl_012_Skin_Tone_06_Skin_Tone_29_6_29,Skin Tone,skippedIndices,high,review,video-004-tl-011|video-004-tl-012,Skin Tone 06|Skin Tone 29,6|29,0.75,Chronological selection jumped by 23 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-skinTone-skippedIndices-video_004_tl_012_video_004_tl_013_Skin_Tone_29_Skin_Tone_24_29_24,Skin Tone,skippedIndices,high,review,video-004-tl-012|video-004-tl-013,Skin Tone 29|Skin Tone 24,29|24,0.75,Chronological selection jumped by -5 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-skinTone-skippedIndices-video_004_tl_014_video_004_tl_015_Skin_Tone_22_Skin_Tone_17_22_17,Skin Tone,skippedIndices,high,review,video-004-tl-014|video-004-tl-015,Skin Tone 22|Skin Tone 17,22|17,0.75,Chronological selection jumped by -5 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-skinTone-skippedIndices-video_004_tl_015_video_004_tl_016_Skin_Tone_17_Skin_Tone_13_17_13,Skin Tone,skippedIndices,high,review,video-004-tl-015|video-004-tl-016,Skin Tone 17|Skin Tone 13,17|13,0.75,Chronological selection jumped by -4 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-skinTone-skippedIndices-video_004_tl_018_video_004_tl_019_Skin_Tone_12_Skin_Tone_01_12_1,Skin Tone,skippedIndices,high,review,video-004-tl-018|video-004-tl-019,Skin Tone 12|Skin Tone 01,12|1,0.75,Chronological selection jumped by -11 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-skinTone-skippedIndices-video_004_tl_021_video_004_tl_022_Skin_Tone_03_Skin_Tone_11_3_11,Skin Tone,skippedIndices,high,review,video-004-tl-021|video-004-tl-022,Skin Tone 03|Skin Tone 11,3|11,0.75,Chronological selection jumped by 8 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
