timelineID,auditID,relativePath,game,startTimestamp,endTimestamp,menu,submenu,category,observedContent,viewsShown,coverage,clearlyReadable,sourceBasis,productionStatus,verificationStatus
MEDIA-002-TL-005,MEDIA-002,source-media/Fc26/player-creator/fc26-player-creator-part-02.MP4,EA Sports FC player creator,195,235.69,Facial hair,Facial Hair / facial-hair color,Facial hair,"Facial-hair rows, beard visual changes, and color swatches visible.",front;right_3q,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-003-TL-001,MEDIA-003,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-01_47_00.mp4,2K Create A Player,0,141.99,Head Selection,Head Selection grid,Head Selection,"Multiple head presets selected from a grid; front, side, rear, and three-quarter views are visible through rotations.",front;left_3q;left_profile;rear;right_profile;right_3q,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-005-TL-001,MEDIA-005,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-01_51_45.mp4,2K Create A Player,0,8,Appearance,Appearance menu entry,Appearance,Appearance menu is visible before opening hair.,front,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-005-TL-002,MEDIA-005,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-01_51_45.mp4,2K Create A Player,8,236.57,Hair,Hair style grid,Hair,"Many hairstyle presets are selected from the Hair grid; continuous rotations include front, profiles, rear, and three-quarter extractable frames.",front;left_3q;left_profile;rear;right_profile;right_3q,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-007-TL-001,MEDIA-007,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-01_55_27.mp4,2K Create A Player,0,38,Hair,Edit Hair / Hair Color / Hair Length / Hair Pattern,Hair,Hair color and edit-hair controls with swatches/sliders are visible.,front;profile;rear,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-007-TL-002,MEDIA-007,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-01_55_27.mp4,2K Create A Player,38,125,Skull,Edit Skull sliders,Skull,"Skull Width, Skull Height, and related sliders are visible with values, but min/max range proof is incomplete.",front;right_profile,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-007-TL-003,MEDIA-007,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-01_55_27.mp4,2K Create A Player,125,178.63,Skull,Skull preset grid,Skull,Skull presets are visible with rotations and selected tiles.,front;right_profile;rear,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-009-TL-001,MEDIA-009,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-01_58_49.mp4,2K Create A Player,0,25,Brow,Brow / Eyebrows,Brow,Brow/eyebrow controls are visible.,front;right_profile,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-009-TL-002,MEDIA-009,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-01_58_49.mp4,2K Create A Player,25,50,Ears / Eyes,Ears / Eyes preset grids,Ears / Eyes,Ear and eye preset grids are visible; rotations provide side evidence.,front;rear;right_profile,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-009-TL-003,MEDIA-009,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-01_58_49.mp4,2K Create A Player,50,80,Nose,Nose preset grid,Nose,Nose preset grid and selected tiles are visible.,front;right_3q,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-009-TL-004,MEDIA-009,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-01_58_49.mp4,2K Create A Player,80,112,Cheeks,Cheeks preset grid,Cheeks,Cheek presets are visible.,front;right_profile,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-009-TL-005,MEDIA-009,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-01_58_49.mp4,2K Create A Player,112,150,Mouth / Teeth,Mouth / teeth options,Mouth / Teeth,"Mouth, upper/lower teeth, and teeth visual state are visible.",front,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-009-TL-006,MEDIA-009,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-01_58_49.mp4,2K Create A Player,150,183.99,Facial Hair,Facial Hair entry,Facial Hair,Facial Hair menu entry and initial beard visual are visible.,front;right_3q,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-010-TL-001,MEDIA-010,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-02_02_07.mp4,2K Create A Player,0,191.24,Facial Hair,Facial hair style grid,Facial Hair,"Facial-hair styles are selected from a grid with repeated rotations; front, profile, rear, and three-quarter frames are extractable.",front;left_3q;left_profile;rear;right_profile;right_3q,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-011-TL-001,MEDIA-011,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-02_04_25.mp4,2K Create A Player,0,35,Chin,Chin preset grid,Chin,Chin presets visible with front/profile/rear rotations.,front;right_profile;rear,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-011-TL-002,MEDIA-011,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-02_04_25.mp4,2K Create A Player,35,88,Skin,Skin swatch grid,Skin,Skin swatches are selected; model tone changes are visible.,front;right_profile;rear,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-011-TL-003,MEDIA-011,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-02_04_25.mp4,2K Create A Player,88,112.85,Body,Edit Body / Arm Emphasis / Body Shape,Body,Body appearance settings and full-body preview are visible.,front;right_profile,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-012-TL-001,MEDIA-012,source-media/NBA2k 2026/NBA 2K26 for Xbox Series X_S-2026_08_03-02_08_34.mp4,2K Create A Player,0,211.1,Signature Editor,Jump shot / dribble / dunk / movement style controls,Signature Editor,"Signature animation/style controls are visible; this is player-style context, not face appearance catalog evidence.",full_body;front;rear;profile,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-013-TL-001,MEDIA-013,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,College Football create player,0,5,Appearance,Head & Skin entry,Appearance,Create Player appearance entry visible.,full_body;front,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-013-TL-002,MEDIA-013,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,College Football create player,5,64,Head & Skin,Head Template,Head & Skin,Head Template grid and selected faces visible; first/final/wrap not proven.,front;right_3q,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-013-TL-003,MEDIA-013,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,College Football create player,65,119,Head & Skin,Skin Tone,Head & Skin,Skin Tone swatches and selected values visible; grid is readable.,front,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-013-TL-004,MEDIA-013,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,College Football create player,120,144,Head & Skin,Skin Details,Head & Skin,Skin Details grid visible.,front,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-013-TL-005,MEDIA-013,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,College Football create player,145,159,Head & Skin,Eye Shape,Head & Skin,Eye Shape grid visible.,front;right_3q,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-013-TL-006,MEDIA-013,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,College Football create player,160,184,Head & Skin,Eye Color,Head & Skin,Eye Color grid visible.,front,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-013-TL-007,MEDIA-013,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,College Football create player,185,199,Head & Skin,Nose,Head & Skin,Nose grid visible with selected options.,front;right_3q,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-013-TL-008,MEDIA-013,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,College Football create player,200,209,Head & Skin,Ear Shape,Head & Skin,Ear Shape grid visible.,front,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-013-TL-009,MEDIA-013,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,College Football create player,210,219,Head & Skin,Mouth Shape,Head & Skin,Mouth Shape grid visible.,front,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-013-TL-010,MEDIA-013,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,College Football create player,220,229,Head & Skin,Jaw Shape,Head & Skin,Jaw Shape grid visible.,front,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-013-TL-011,MEDIA-013,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,College Football create player,230,240.24,Head & Skin,Chin,Head & Skin,Chin grid visible.,front,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-014-TL-001,MEDIA-014,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,College Football create player,0,5,Appearance,Hair entry,Appearance,Create Player hair entry visible.,full_body;front,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-014-TL-002,MEDIA-014,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,College Football create player,5,99,Hair,Hair Style,Hair,Hair Style grid and many selected styles visible.,front;right_3q,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-014-TL-003,MEDIA-014,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,College Football create player,100,174,Hair,Hair Color,Hair,Hair Color swatches and selected values visible.,front,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-014-TL-004,MEDIA-014,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,College Football create player,175,224,Hair,Facial Hair Style,Hair,Facial Hair Style grid and selected styles visible.,front;right_3q,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-014-TL-005,MEDIA-014,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,College Football create player,225,235.35,Hair,Facial Hair Color,Hair,Facial Hair Color swatches visible.,front,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-015-TL-001,MEDIA-015,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_21_15.mp4,College Football create player,0,5,Styles,Styles entry,Styles,Styles menu entry visible.,full_body,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-015-TL-002,MEDIA-015,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_21_15.mp4,College Football create player,5,74,Styles,QB Throw Style,Styles,QB Throw Style values and animation preview visible.,full_body;front;profile,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-015-TL-003,MEDIA-015,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_21_15.mp4,College Football create player,75,124,Styles,Run Style,Styles,Run Style values and movement preview visible.,full_body;front;rear,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-015-TL-004,MEDIA-015,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_21_15.mp4,College Football create player,125,154,Styles,QB Under Center Stance,Styles,Under-center stance rows visible.,full_body;front,captured_with_limitations,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
MEDIA-015-TL-005,MEDIA-015,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_21_15.mp4,College Football create player,155,163.8,Styles,2-Point Stance rows,Styles,2-point stance rows visible.,full_body;front,partially_captured,true,direct video contact-sheet and full-duration decode inspection,NOT_PRODUCTION_DATA,NOT_HUMAN_VERIFIED
