game,coverageArea,state,notes,sourceBasis,productionStatus
NBA 2K26 Create A Player footage,Facial-hair colors,NOT_SEEN_IN_ANY_VIDEO,No separate facial-hair color control is clearly shown.,direct source-media video inspection,NOT_PRODUCTION_DATA
NBA 2K26 Create A Player footage,Body or physique settings,PARTIALLY_CAPTURED,Body menu rows visible; full body ranges not proven.,direct source-media video inspection,NOT_PRODUCTION_DATA
College Football 27 create-player footage,Environment and version footage,PARTIALLY_CAPTURED,Create Player UI is visible; platform/version/update screen is not shown.,direct source-media video inspection,NOT_PRODUCTION_DATA
College Football 27 create-player footage,Main player-creation path,PARTIALLY_CAPTURED,Create Player > Player appears open; entry route into Road to Glory is not shown in source-media videos.,direct source-media video inspection,NOT_PRODUCTION_DATA
College Football 27 create-player footage,Complete visible menu hierarchy,CAPTURED_WITH_LIMITATIONS,"Head & Skin, Hair, and Styles menus are visible.",direct source-media video inspection,NOT_PRODUCTION_DATA
College Football 27 create-player footage,Head or face presets,PARTIALLY_CAPTURED,Head Template grid and selected values visible; final/wrap not proven.,direct source-media video inspection,NOT_PRODUCTION_DATA
College Football 27 create-player footage,Skin options,CAPTURED_WITH_LIMITATIONS,Skin Tone visible.,direct source-media video inspection,NOT_PRODUCTION_DATA
College Football 27 create-player footage,Skin details or complexion,CAPTURED_WITH_LIMITATIONS,Skin Details visible.,direct source-media video inspection,NOT_PRODUCTION_DATA
College Football 27 create-player footage,Eye-related options,CAPTURED_WITH_LIMITATIONS,Eye Shape and Eye Color visible.,direct source-media video inspection,NOT_PRODUCTION_DATA
College Football 27 create-player footage,Nose-related options,PARTIALLY_CAPTURED,Nose grid visible; profile views are limited.,direct source-media video inspection,NOT_PRODUCTION_DATA
College Football 27 create-player footage,Ear-related options,PARTIALLY_CAPTURED,Ear Shape visible; profile views are limited.,direct source-media video inspection,NOT_PRODUCTION_DATA
College Football 27 create-player footage,Mouth-related options,CAPTURED_WITH_LIMITATIONS,Mouth Shape visible.,direct source-media video inspection,NOT_PRODUCTION_DATA
College Football 27 create-player footage,Jaw-related options,PARTIALLY_CAPTURED,Jaw Shape visible; profile views are limited.,direct source-media video inspection,NOT_PRODUCTION_DATA
College Football 27 create-player footage,Chin,PARTIALLY_CAPTURED,Chin visible; profile views are limited.,direct source-media video inspection,NOT_PRODUCTION_DATA
College Football 27 create-player footage,Eyebrow-related options,NOT_SEEN_IN_ANY_VIDEO,No eyebrow control appears in source-media videos; absence is not proven from source-media alone.,direct source-media video inspection,NOT_PRODUCTION_DATA
College Football 27 create-player footage,Hairstyles,CAPTURED_WITH_LIMITATIONS,Hair Style grid visible.,direct source-media video inspection,NOT_PRODUCTION_DATA
College Football 27 create-player footage,Hair colors,CAPTURED_WITH_LIMITATIONS,Hair Color swatches visible.,direct source-media video inspection,NOT_PRODUCTION_DATA
College Football 27 create-player footage,Facial hair,CAPTURED_WITH_LIMITATIONS,Facial Hair Style grid visible.,direct source-media video inspection,NOT_PRODUCTION_DATA
College Football 27 create-player footage,Facial-hair colors,PARTIALLY_CAPTURED,Facial Hair Color swatches visible briefly.,direct source-media video inspection,NOT_PRODUCTION_DATA
College Football 27 create-player footage,Body or physique settings,VISIBLE_BUT_NOT_OPENED,Styles/body-animation rows visible; body/physique values are not opened.,direct source-media video inspection,NOT_PRODUCTION_DATA
