discrepancy_id,discrepancy_type,stable_candidate_id,category,native_order,verifier_instruction,evidence_references,source_video_timestamp,current_status,blocks_production,notes
CF27-DISC-CATEGORY-skin-tone-ORDERING,ORDERING_DISPUTE,skin-tone,Skin Tone,,Independently recount this full category and preserve native order before comparing primary records.,,,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"beginningBoundary: NOT_DEMONSTRATED_AS_SELECTOR_BOUNDARY endingBoundary: NOT_DEMONSTRATED_AS_SELECTOR_BOUNDARY twoCompleteCounts: Two complete independent counts are not available. nativeOrderContinuity: Missing native-order values inside observed range: 5, 14, 15, 16, 25, 26, 27, 28. missingIndices: Missing indices: 5, 14, 15, 16, 25, 26, 27, 28. repeatedIndices: Repeated selected indices or labels: 10. wrappingBehavior: NOT_DEMONSTRATED countMatchesRecordTotal: No total count is claimed, so count cannot be matched to record total. unprovenFinalOptionClaims: LAST_OBSERVED_IN_CURRENT_FOOTAGE_NOT_PROVEN_FINAL_AVAILABLE"
CF27-DISC-cf27-xboxunknown-rtg-chin-square-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,Chin,2,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-011,CF27_XBOX_SOURCE_2026_08_02_001@230-240.24,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-earshape-001-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,Ear Shape,1,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-video-009-tl-003,phase0-video-009@18-20,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-earshape-001-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,Ear Shape,1,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-video-009-tl-003,phase0-video-009@18-20,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-earshape-002-duplicate-review-required,DUPLICATE_REVIEW_REQUIRED,CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,Ear Shape,2,Compare both observations and source timestamps; do not merge or discard either record without direct evidence.,phase0-frame-video-009-tl-002;phase0-frame-video-009-tl-004,phase0-video-009@16-17,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,Duplicate or continuity concern must be reviewed from direct evidence.
CF27-DISC-cf27-xboxunknown-rtg-earshape-002-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,Ear Shape,2,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-video-009-tl-002;phase0-frame-video-009-tl-004,phase0-video-009@16-17,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-earshape-002-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,Ear Shape,2,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-video-009-tl-002;phase0-frame-video-009-tl-004,phase0-video-009@16-17,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-earshape-003-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,Ear Shape,3,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-video-009-tl-005,phase0-video-009@23-25,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-earshape-003-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,Ear Shape,3,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-video-009-tl-005,phase0-video-009@23-25,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-earshape-004-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,Ear Shape,4,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-video-009-tl-006,phase0-video-009@26-30.21,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-earshape-004-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,Ear Shape,4,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-video-009-tl-006,phase0-video-009@26-30.21,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-eyecolor-001-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_EYECOLOR_001,Eye Color,1,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-video-007-tl-002,phase0-video-007@12-12,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-eyecolor-001-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_EYECOLOR_001,Eye Color,1,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-video-007-tl-002,phase0-video-007@12-12,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-eyecolor-002-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_EYECOLOR_002,Eye Color,2,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-video-007-tl-003,phase0-video-007@13-15,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-eyecolor-002-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_EYECOLOR_002,Eye Color,2,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-video-007-tl-003,phase0-video-007@13-15,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-eyecolor-003-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_EYECOLOR_003,Eye Color,3,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-video-007-tl-004,phase0-video-007@16-17,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-eyecolor-003-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_EYECOLOR_003,Eye Color,3,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-video-007-tl-004,phase0-video-007@16-17,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-eyecolor-004-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_EYECOLOR_004,Eye Color,4,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-video-007-tl-005,phase0-video-007@18-20,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-eyecolor-004-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_EYECOLOR_004,Eye Color,4,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-video-007-tl-005,phase0-video-007@18-20,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-eyecolor-005-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_EYECOLOR_005,Eye Color,5,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-video-007-tl-008,phase0-video-007@25-29.33,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-eyecolor-005-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_EYECOLOR_005,Eye Color,5,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-video-007-tl-008,phase0-video-007@25-29.33,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-eyecolor-006-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_EYECOLOR_006,Eye Color,6,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-video-007-tl-007,phase0-video-007@23-24,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-eyecolor-006-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_EYECOLOR_006,Eye Color,6,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-video-007-tl-007,phase0-video-007@23-24,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-eyecolor-007-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_EYECOLOR_007,Eye Color,7,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-video-007-tl-006,phase0-video-007@21-22,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-eyecolor-007-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_EYECOLOR_007,Eye Color,7,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-video-007-tl-006,phase0-video-007@21-22,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-eyeshape-001-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_EYESHAPE_001,Eye Shape,1,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-video-006-tl-002,phase0-video-006@14-14,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-eyeshape-001-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_EYESHAPE_001,Eye Shape,1,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-video-006-tl-002,phase0-video-006@14-14,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-eyeshape-002-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_EYESHAPE_002,Eye Shape,2,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-video-006-tl-003,phase0-video-006@15-16,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-eyeshape-002-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_EYESHAPE_002,Eye Shape,2,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-video-006-tl-003,phase0-video-006@15-16,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-eyeshape-003-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_EYESHAPE_003,Eye Shape,3,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-video-006-tl-004,phase0-video-006@17-18,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-eyeshape-003-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_EYESHAPE_003,Eye Shape,3,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-video-006-tl-004,phase0-video-006@17-18,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-eyeshape-004-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_EYESHAPE_004,Eye Shape,4,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-video-006-tl-005,phase0-video-006@19-19,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-eyeshape-004-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_EYESHAPE_004,Eye Shape,4,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-video-006-tl-005,phase0-video-006@19-19,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-eyeshape-005-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_EYESHAPE_005,Eye Shape,5,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-video-006-tl-006,phase0-video-006@20-24.93,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-eyeshape-005-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_EYESHAPE_005,Eye Shape,5,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-video-006-tl-006,phase0-video-006@20-24.93,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-facialhair-mutton-chops-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_FACIALHAIR_MUTTON_CHOPS,Facial hair,,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-004,CF27_XBOX_SOURCE_2026_08_02_002@175-224,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-facialhair-mutton-chops-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_FACIALHAIR_MUTTON_CHOPS,Facial hair,,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-004,CF27_XBOX_SOURCE_2026_08_02_002@175-224,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-facialhaircolor-purple-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_FACIALHAIRCOLOR_PURPLE,Facial-hair colors,,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-005,CF27_XBOX_SOURCE_2026_08_02_002@225-235.35,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-facialhaircolor-purple-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_FACIALHAIRCOLOR_PURPLE,Facial-hair colors,,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-005,CF27_XBOX_SOURCE_2026_08_02_002@225-235.35,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-haircolor-light-brown-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_HAIRCOLOR_LIGHT_BROWN,Hair colors,,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-003,CF27_XBOX_SOURCE_2026_08_02_002@100-174,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-haircolor-light-brown-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_HAIRCOLOR_LIGHT_BROWN,Hair colors,,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-003,CF27_XBOX_SOURCE_2026_08_02_002@100-174,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-hairstyle-short-curly-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY,Hairstyles,1,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-002,CF27_XBOX_SOURCE_2026_08_02_002@5-99,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-hairstyle-short-curly-ordering-dispute,ORDERING_DISPUTE,CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY,Hairstyles,1,Independently recount native order and selector boundaries before comparing primary records.,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-002,CF27_XBOX_SOURCE_2026_08_02_002@5-99,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Native order, selector boundary, or count continuity is unresolved for this record/category."
CF27-DISC-cf27-xboxunknown-rtg-head-001-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_HEAD_001,Heads,1,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-video-002-tl-004,phase0-video-002@10-19,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-head-002-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_HEAD_002,Heads,2,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-video-002-tl-005,phase0-video-002@20-28,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
CF27-DISC-cf27-xboxunknown-rtg-head-003-environment-version-gap,ENVIRONMENT_VERSION_GAP,CF27_XBOXUNKNOWN_RTG_HEAD_003,Heads,3,Record or confirm the verifier environment; mark version mismatch if it does not match primary evidence.,phase0-frame-video-002-tl-006,phase0-video-002@29-38,OPEN_PENDING_SECOND_VERIFIER_OR_RECAPTURE,yes,"Missing environment/version field(s): gameVersion, patch."
