recaptureID,itemID,itemType,nativeLabel,priority,reason,requiredAction
standardized-recapture-cf27-xboxunknown-rtg-head-011,CF27_XBOXUNKNOWN_RTG_HEAD_011,CATALOG_IMAGE_RECORD,Face 11,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-012,CF27_XBOXUNKNOWN_RTG_HEAD_012,CATALOG_IMAGE_RECORD,Face 12,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-013,CF27_XBOXUNKNOWN_RTG_HEAD_013,CATALOG_IMAGE_RECORD,Face 13,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-014,CF27_XBOXUNKNOWN_RTG_HEAD_014,CATALOG_IMAGE_RECORD,Face 14,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-016,CF27_XBOXUNKNOWN_RTG_HEAD_016,CATALOG_IMAGE_RECORD,Face 16,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-017,CF27_XBOXUNKNOWN_RTG_HEAD_017,CATALOG_IMAGE_RECORD,Face 17,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-018,CF27_XBOXUNKNOWN_RTG_HEAD_018,CATALOG_IMAGE_RECORD,Face 18,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-021,CF27_XBOXUNKNOWN_RTG_HEAD_021,CATALOG_IMAGE_RECORD,Face 21,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-022,CF27_XBOXUNKNOWN_RTG_HEAD_022,CATALOG_IMAGE_RECORD,Face 22,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-023,CF27_XBOXUNKNOWN_RTG_HEAD_023,CATALOG_IMAGE_RECORD,Face 23,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-024,CF27_XBOXUNKNOWN_RTG_HEAD_024,CATALOG_IMAGE_RECORD,Face 24,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-027,CF27_XBOXUNKNOWN_RTG_HEAD_027,CATALOG_IMAGE_RECORD,Face 27,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-028,CF27_XBOXUNKNOWN_RTG_HEAD_028,CATALOG_IMAGE_RECORD,Face 28,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-029,CF27_XBOXUNKNOWN_RTG_HEAD_029,CATALOG_IMAGE_RECORD,Face 29,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-030,CF27_XBOXUNKNOWN_RTG_HEAD_030,CATALOG_IMAGE_RECORD,Face 30,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Menu evidence only; matching views are missing or inadequate. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-head-031,CF27_XBOXUNKNOWN_RTG_HEAD_031,CATALOG_IMAGE_RECORD,Face 31,P0,"Canonical head-template comparison settings are not locked. | Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry. | Current head record is explicitly not suitable for production geometric comparison. | Menu evidence only; matching views are missing or inadequate. | Transition contamination is present in the source observation.","Recapture using locked canonical settings with verified front, three-quarter, profile, and rear views before geometric matching."
standardized-recapture-cf27-xboxunknown-rtg-eyeshape-001,CF27_XBOXUNKNOWN_RTG_EYESHAPE_001,CATALOG_IMAGE_RECORD,Almond,P0,"Canonical capture settings are not fully locked. | Selector boundaries, defaults, and production evidence are not verified. | Geometry-relevant appearance-control imagery is not standardized for geometric matching.",Recapture this control under the approved canonical comparison setup before geometric matching.
standardized-recapture-cf27-xboxunknown-rtg-eyeshape-002,CF27_XBOXUNKNOWN_RTG_EYESHAPE_002,CATALOG_IMAGE_RECORD,None,P0,"Canonical capture settings are not fully locked. | Selector boundaries, defaults, and production evidence are not verified. | Geometry-relevant appearance-control imagery is not standardized for geometric matching.",Recapture this control under the approved canonical comparison setup before geometric matching.
standardized-recapture-cf27-xboxunknown-rtg-eyeshape-003,CF27_XBOXUNKNOWN_RTG_EYESHAPE_003,CATALOG_IMAGE_RECORD,Prominent,P0,"Canonical capture settings are not fully locked. | Selector boundaries, defaults, and production evidence are not verified. | Geometry-relevant appearance-control imagery is not standardized for geometric matching.",Recapture this control under the approved canonical comparison setup before geometric matching.
standardized-recapture-cf27-xboxunknown-rtg-eyeshape-004,CF27_XBOXUNKNOWN_RTG_EYESHAPE_004,CATALOG_IMAGE_RECORD,Monolid,P0,"Canonical capture settings are not fully locked. | Selector boundaries, defaults, and production evidence are not verified. | Geometry-relevant appearance-control imagery is not standardized for geometric matching.",Recapture this control under the approved canonical comparison setup before geometric matching.
standardized-recapture-cf27-xboxunknown-rtg-eyeshape-005,CF27_XBOXUNKNOWN_RTG_EYESHAPE_005,CATALOG_IMAGE_RECORD,Hooded,P0,"Canonical capture settings are not fully locked. | Selector boundaries, defaults, and production evidence are not verified. | Geometry-relevant appearance-control imagery is not standardized for geometric matching.",Recapture this control under the approved canonical comparison setup before geometric matching.
standardized-recapture-cf27-xboxunknown-rtg-nose-001,CF27_XBOXUNKNOWN_RTG_NOSE_001,CATALOG_IMAGE_RECORD,None,P0,"Canonical capture settings are not fully locked. | Selector boundaries, defaults, and production evidence are not verified. | Geometry-relevant appearance-control imagery is not standardized for geometric matching.",Recapture this control under the approved canonical comparison setup before geometric matching.
standardized-recapture-cf27-xboxunknown-rtg-nose-002,CF27_XBOXUNKNOWN_RTG_NOSE_002,CATALOG_IMAGE_RECORD,Hooked,P0,"Canonical capture settings are not fully locked. | Selector boundaries, defaults, and production evidence are not verified. | Geometry-relevant appearance-control imagery is not standardized for geometric matching.",Recapture this control under the approved canonical comparison setup before geometric matching.
standardized-recapture-cf27-xboxunknown-rtg-nose-003,CF27_XBOXUNKNOWN_RTG_NOSE_003,CATALOG_IMAGE_RECORD,Button,P0,"Canonical capture settings are not fully locked. | Selector boundaries, defaults, and production evidence are not verified. | Geometry-relevant appearance-control imagery is not standardized for geometric matching.",Recapture this control under the approved canonical comparison setup before geometric matching.
standardized-recapture-cf27-xboxunknown-rtg-nose-004,CF27_XBOXUNKNOWN_RTG_NOSE_004,CATALOG_IMAGE_RECORD,Nubian,P0,"Canonical capture settings are not fully locked. | Selector boundaries, defaults, and production evidence are not verified. | Geometry-relevant appearance-control imagery is not standardized for geometric matching.",Recapture this control under the approved canonical comparison setup before geometric matching.
standardized-recapture-cf27-xboxunknown-rtg-nose-005,CF27_XBOXUNKNOWN_RTG_NOSE_005,CATALOG_IMAGE_RECORD,Aquiline,P0,"Canonical capture settings are not fully locked. | Selector boundaries, defaults, and production evidence are not verified. | Geometry-relevant appearance-control imagery is not standardized for geometric matching.",Recapture this control under the approved canonical comparison setup before geometric matching.
standardized-recapture-cf27-xboxunknown-rtg-nose-006,CF27_XBOXUNKNOWN_RTG_NOSE_006,CATALOG_IMAGE_RECORD,Roman,P0,"Canonical capture settings are not fully locked. | Selector boundaries, defaults, and production evidence are not verified. | Geometry-relevant appearance-control imagery is not standardized for geometric matching.",Recapture this control under the approved canonical comparison setup before geometric matching.
standardized-recapture-cf27-xboxunknown-rtg-nose-007,CF27_XBOXUNKNOWN_RTG_NOSE_007,CATALOG_IMAGE_RECORD,Funnel,P0,"Canonical capture settings are not fully locked. | Selector boundaries, defaults, and production evidence are not verified. | Geometry-relevant appearance-control imagery is not standardized for geometric matching.",Recapture this control under the approved canonical comparison setup before geometric matching.
standardized-recapture-cf27-xboxunknown-rtg-earshape-001,CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,CATALOG_IMAGE_RECORD,Attached Lobe,P0,"Canonical capture settings are not fully locked. | Selector boundaries, defaults, and production evidence are not verified. | Geometry-relevant appearance-control imagery is not standardized for geometric matching.",Recapture this control under the approved canonical comparison setup before geometric matching.
standardized-recapture-cf27-xboxunknown-rtg-earshape-002,CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,CATALOG_IMAGE_RECORD,None,P0,"Canonical capture settings are not fully locked. | Selector boundaries, defaults, and production evidence are not verified. | Geometry-relevant appearance-control imagery is not standardized for geometric matching.",Recapture this control under the approved canonical comparison setup before geometric matching.
standardized-recapture-cf27-xboxunknown-rtg-earshape-003,CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,CATALOG_IMAGE_RECORD,Round Free Lobe,P0,"Canonical capture settings are not fully locked. | Selector boundaries, defaults, and production evidence are not verified. | Geometry-relevant appearance-control imagery is not standardized for geometric matching.",Recapture this control under the approved canonical comparison setup before geometric matching.
standardized-recapture-cf27-xboxunknown-rtg-earshape-004,CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,CATALOG_IMAGE_RECORD,Pointed,P0,"Canonical capture settings are not fully locked. | Selector boundaries, defaults, and production evidence are not verified. | Geometry-relevant appearance-control imagery is not standardized for geometric matching.",Recapture this control under the approved canonical comparison setup before geometric matching.
