recapture_id,source_audit_row_id,group,priority,candidate_or_requirement_id,affected_candidate_ids,exact_menu_path,exact_category,exact_option_or_range,exact_starting_state,exact_canonical_settings,exact_views_required,exact_hold_duration,exact_label_index_must_be_visible,proposed_filename,one_continuous_clip_acceptable,must_show_first_and_final_selector_values,supplements_or_supersedes_existing_evidence,exact_blocker_cleared
CF27-MIN-RECAP-011,requirement-REQ-VERSION-PATCH-PLATFORM,Environment evidence,P0,REQ-VERSION-PATCH-PLATFORM,,Console/game information screen or in-game version screen,Game title/version/update evidence,environment/version/patch/platform proof,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,Keep Road to Glory Custom Create Player environment and unrelated appearance settings unchanged.,ENVIRONMENT_SCREEN,Hold 3 seconds on the menu label/index and 3 seconds after each requested angle settles.,Visible game title/version/patch/platform text; avoid private account data.,GFM-CF27-MIN-GAME-TITLE-VERSION-UPDATE-EVIDENCE-REQ-VERSION-PATCH-PLATFORM-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",no,CF27_XBOX_SOURCE_2026_08_02_001; CF27_XBOX_SOURCE_2026_08_02_002; CF27_XBOX_SOURCE_2026_08_02_003,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
CF27-MIN-RECAP-012,requirement-REQ-ORDER-hair-color,Hairstyles,P1,REQ-ORDER-hair-color,,Create Player > Player > Appearance > Hair > Hair colors,Hair colors,first value through final value plus wrap/no-wrap proof,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,"Lock canonical head, skin, body, hair/facial-hair color as applicable, lighting, and zoom; change only the requested hair/facial-hair control.",MENU,Hold at least 3 seconds on every readable menu state and selected value.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-HAIR-COLORS-REQ-ORDER-HAIR-COLOR-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",yes,CF27_XBOX_SOURCE_2026_08_02_002,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
CF27-MIN-RECAP-013,requirement-REQ-ORDER-hairstyles,Hairstyles,P1,REQ-ORDER-hairstyles,,Create Player > Player > Appearance > Hair > Hairstyles,Hairstyles,first value through final value plus wrap/no-wrap proof,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,"Lock canonical head, skin, body, hair/facial-hair color as applicable, lighting, and zoom; change only the requested hair/facial-hair control.",MENU,Hold at least 3 seconds on every readable menu state and selected value.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-HAIRSTYLES-REQ-ORDER-HAIRSTYLES-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",yes,CF27_XBOX_SOURCE_2026_08_02_002,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
CF27-MIN-RECAP-014,requirement-REQ-VIEWS-hairstyles,Hairstyles,P1,REQ-VIEWS-hairstyles,CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY,Create Player > Player > Appearance > Hair > Hairstyles,Hairstyles,CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,"Lock canonical head, skin, body, hair/facial-hair color as applicable, lighting, and zoom; change only the requested hair/facial-hair control.",FRONT; LEFT_3Q; LEFT_PROFILE; REAR; RIGHT_PROFILE; RIGHT_3Q,Hold 3 seconds on the menu label/index and 3 seconds after each requested angle settles.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-HAIRSTYLES-REQ-VIEWS-HAIRSTYLES-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",yes,CF27_XBOX_SOURCE_2026_08_02_002,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
CF27-MIN-RECAP-015,requirement-REQ-ORDER-head-template,Head records,P1,REQ-ORDER-head-template,,Create Player > Player > Appearance > Head & Skin > Head templates,Head templates,first value through final value plus wrap/no-wrap proof,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,"Lock the canonical face slate: same head/skin/hair/facial-hair/body setup, no setting changes except the selected control, stable lighting and zoom.",MENU,Hold at least 3 seconds on every readable menu state and selected value.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-HEAD-TEMPLATES-REQ-ORDER-HEAD-TEMPLATE-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",yes,phase0-video-002; phase0-video-003,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
CF27-MIN-RECAP-016,requirement-REQ-VIEWS-heads,Head records,P1,REQ-VIEWS-heads,CF27_XBOXUNKNOWN_RTG_HEAD_001;CF27_XBOXUNKNOWN_RTG_HEAD_002;CF27_XBOXUNKNOWN_RTG_HEAD_003;CF27_XBOXUNKNOWN_RTG_HEAD_004;CF27_XBOXUNKNOWN_RTG_HEAD_005;CF27_XBOXUNKNOWN_RTG_HEAD_006;CF27_XBOXUNKNOWN_RTG_HEAD_007;CF27_XBOXUNKNOWN_RTG_HEAD_008;CF27_XBOXUNKNOWN_RTG_HEAD_009;CF27_XBOXUNKNOWN_RTG_HEAD_010;CF27_XBOXUNKNOWN_RTG_HEAD_011;CF27_XBOXUNKNOWN_RTG_HEAD_012;CF27_XBOXUNKNOWN_RTG_HEAD_013;CF27_XBOXUNKNOWN_RTG_HEAD_014;CF27_XBOXUNKNOWN_RTG_HEAD_016;CF27_XBOXUNKNOWN_RTG_HEAD_017;CF27_XBOXUNKNOWN_RTG_HEAD_018;CF27_XBOXUNKNOWN_RTG_HEAD_021;CF27_XBOXUNKNOWN_RTG_HEAD_022;CF27_XBOXUNKNOWN_RTG_HEAD_023;CF27_XBOXUNKNOWN_RTG_HEAD_024;CF27_XBOXUNKNOWN_RTG_HEAD_027;CF27_XBOXUNKNOWN_RTG_HEAD_028;CF27_XBOXUNKNOWN_RTG_HEAD_029;CF27_XBOXUNKNOWN_RTG_HEAD_030;CF27_XBOXUNKNOWN_RTG_HEAD_031,Create Player > Player > Appearance > Head & Skin > Head templates,Head templates,CF27_XBOXUNKNOWN_RTG_HEAD_001; CF27_XBOXUNKNOWN_RTG_HEAD_002; CF27_XBOXUNKNOWN_RTG_HEAD_003; CF27_XBOXUNKNOWN_RTG_HEAD_004; CF27_XBOXUNKNOWN_RTG_HEAD_005; CF27_XBOXUNKNOWN_RTG_HEAD_006; CF27_XBOXUNKNOWN_RTG_HEAD_007; CF27_XBOXUNKNOWN_RTG_HEAD_008; CF27_XBOXUNKNOWN_RTG_HEAD_009; CF27_XBOXUNKNOWN_RTG_HEAD_010; CF27_XBOXUNKNOWN_RTG_HEAD_011; CF27_XBOXUNKNOWN_RTG_HEAD_012; CF27_XBOXUNKNOWN_RTG_HEAD_013; CF27_XBOXUNKNOWN_RTG_HEAD_014; CF27_XBOXUNKNOWN_RTG_HEAD_016; CF27_XBOXUNKNOWN_RTG_HEAD_017; CF27_XBOXUNKNOWN_RTG_HEAD_018; CF27_XBOXUNKNOWN_RTG_HEAD_021; CF27_XBOXUNKNOWN_RTG_HEAD_022; CF27_XBOXUNKNOWN_RTG_HEAD_023; CF27_XBOXUNKNOWN_RTG_HEAD_024; CF27_XBOXUNKNOWN_RTG_HEAD_027; CF27_XBOXUNKNOWN_RTG_HEAD_028; CF27_XBOXUNKNOWN_RTG_HEAD_029; CF27_XBOXUNKNOWN_RTG_HEAD_030; CF27_XBOXUNKNOWN_RTG_HEAD_031,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,"Lock the canonical face slate: same head/skin/hair/facial-hair/body setup, no setting changes except the selected control, stable lighting and zoom.",FRONT; LEFT_3Q; LEFT_PROFILE; RIGHT_3Q; RIGHT_PROFILE; REAR,Hold 3 seconds on the menu label/index and 3 seconds after each requested angle settles.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-HEAD-TEMPLATES-REQ-VIEWS-HEADS-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",yes,phase0-video-002; phase0-video-003,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
CF27-MIN-RECAP-017,requirement-REQ-VIEWS-jaw-shape,Additional attributes,P1,REQ-VIEWS-jaw-shape,CF27_XBOXUNKNOWN_RTG_JAWSHAPE_SQUARE,Create Player > Player > Appearance > Head & Skin > Jaw shape,Jaw shape,CF27_XBOXUNKNOWN_RTG_JAWSHAPE_SQUARE,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,"Lock the canonical face slate: same head/skin/hair/facial-hair/body setup, no setting changes except the selected control, stable lighting and zoom.",FRONT; LEFT_PROFILE; RIGHT_PROFILE,Hold 3 seconds on the menu label/index and 3 seconds after each requested angle settles.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-JAW-SHAPE-REQ-VIEWS-JAW-SHAPE-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",yes,CF27_XBOX_SOURCE_2026_08_02_001,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
CF27-MIN-RECAP-018,requirement-REQ-ORDER-nose,Additional attributes,P1,REQ-ORDER-nose,,Create Player > Player > Appearance > Head & Skin > Nose,Nose,first value through final value plus wrap/no-wrap proof,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,"Lock the canonical face slate: same head/skin/hair/facial-hair/body setup, no setting changes except the selected control, stable lighting and zoom.",MENU,Hold at least 3 seconds on every readable menu state and selected value.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-NOSE-REQ-ORDER-NOSE-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",yes,phase0-video-008,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
CF27-MIN-RECAP-019,requirement-REQ-VIEWS-nose,Additional attributes,P1,REQ-VIEWS-nose,CF27_XBOXUNKNOWN_RTG_NOSE_001;CF27_XBOXUNKNOWN_RTG_NOSE_002;CF27_XBOXUNKNOWN_RTG_NOSE_003;CF27_XBOXUNKNOWN_RTG_NOSE_004;CF27_XBOXUNKNOWN_RTG_NOSE_005;CF27_XBOXUNKNOWN_RTG_NOSE_006;CF27_XBOXUNKNOWN_RTG_NOSE_007,Create Player > Player > Appearance > Head & Skin > Nose,Nose,CF27_XBOXUNKNOWN_RTG_NOSE_001; CF27_XBOXUNKNOWN_RTG_NOSE_002; CF27_XBOXUNKNOWN_RTG_NOSE_003; CF27_XBOXUNKNOWN_RTG_NOSE_004; CF27_XBOXUNKNOWN_RTG_NOSE_005; CF27_XBOXUNKNOWN_RTG_NOSE_006; CF27_XBOXUNKNOWN_RTG_NOSE_007,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,"Lock the canonical face slate: same head/skin/hair/facial-hair/body setup, no setting changes except the selected control, stable lighting and zoom.",FRONT; LEFT_PROFILE; RIGHT_PROFILE,Hold 3 seconds on the menu label/index and 3 seconds after each requested angle settles.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-NOSE-REQ-VIEWS-NOSE-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",yes,phase0-video-008,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
CF27-MIN-RECAP-020,requirement-REQ-ORDER-skin-details,Additional attributes,P1,REQ-ORDER-skin-details,,Create Player > Player > Appearance > Head & Skin > Skin details,Skin details,first value through final value plus wrap/no-wrap proof,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,Keep Road to Glory Custom Create Player environment and unrelated appearance settings unchanged.,MENU,Hold at least 3 seconds on every readable menu state and selected value.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-SKIN-DETAILS-REQ-ORDER-SKIN-DETAILS-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",yes,phase0-video-005,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
CF27-MIN-RECAP-021,requirement-REQ-ORDER-skin-tone,Additional attributes,P1,REQ-ORDER-skin-tone,,Create Player > Player > Appearance > Head & Skin > Skin tone,Skin tone,first value through final value plus wrap/no-wrap proof,Start from the supported Road to Glory Custom Create Player path with the current canonical research slate.,Keep Road to Glory Custom Create Player environment and unrelated appearance settings unchanged.,MENU,Hold at least 3 seconds on every readable menu state and selected value.,"Native menu label, selected value, and native index/order must remain readable.",GFM-CF27-MIN-SKIN-TONE-REQ-ORDER-SKIN-TONE-YYYYMMDD-partNN.mp4,"yes, if every listed evidence item remains readable and no unrelated setting is changed",yes,phase0-video-004,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
