targetNumber,targetID,targetName,category,primaryClassification,existingSourceVideos,timestampsInspected,derivativeFramesInspected,clearlyShown,notShown,canFrameReextractionSolveIt,canSecondVerifierReviewSolveIt,requiresNewRecording,correspondingRecaptureID,finalOwnerRecordingQueueStatus,exactNextAction,productionEligibility
11,REQ-VIEWS-nose,Nose required views,Nose,PARTIALLY_COVERED_BY_EXISTING_VIDEO,phase0-video-008; CF27_XBOX_SOURCE_2026_08_02_001,phase0-video-008 @ 14-32.45; CF27_XBOX_SOURCE_2026_08_02_001 @ 185-199,existing derivatives; production_verification_queue missingViews,Nose selected labels and at least one character preview view are visible in existing media.,"The current media does not prove the required front, left-profile, and right-profile views for every nose candidate.",partial,no,yes,CF27-MIN-RECAP-015,IN_OWNER_MINIMUM_RECORDING_GUIDE,Extract usable frames first; then record only the specific Nose view(s) still missing after extraction.,NOT_ELIGIBLE
12,REQ-VIEWS-jaw-shape,Jaw Shape required views,Jaw shape,PARTIALLY_COVERED_BY_EXISTING_VIDEO,CF27_XBOX_SOURCE_2026_08_02_001,CF27_XBOX_SOURCE_2026_08_02_001 @ 220-229,existing derivatives; production_verification_queue missingViews,Jaw shape selected labels and at least one character preview view are visible in existing media.,Current footage does not prove left-profile and right-profile Jaw Shape views.,partial,no,yes,CF27-MIN-RECAP-013,IN_OWNER_MINIMUM_RECORDING_GUIDE,Extract usable frames first; then record only the specific Jaw shape view(s) still missing after extraction.,NOT_ELIGIBLE
13,REQ-VIEWS-chin,Chin required views,Chin,PARTIALLY_COVERED_BY_EXISTING_VIDEO,CF27_XBOX_SOURCE_2026_08_02_001,CF27_XBOX_SOURCE_2026_08_02_001 @ 230-240.24,existing derivatives; production_verification_queue missingViews,Chin selected labels and at least one character preview view are visible in existing media.,Current footage does not prove left-profile and right-profile Chin views.,partial,no,yes,CF27-MIN-RECAP-001,IN_OWNER_MINIMUM_RECORDING_GUIDE,Extract usable frames first; then record only the specific Chin view(s) still missing after extraction.,NOT_ELIGIBLE
14,REQ-EYEBROWS,Eyebrow or brow-control presence,Additional visible face-matching controls,NOT_APPLICABLE_DIRECTLY_PROVEN,CF27_XBOX_SOURCE_2026_08_02_001; phase0-video-002; phase0-video-006,CF27_XBOX_SOURCE_2026_08_02_001 @ 0-240.24; phase0-video-002 @ 6-108.8; phase0-video-006 @ 0-24.93,Head & Skin menu/timeline derivatives,No standalone Eyebrow/Brow Shape/Brow Color row appears in the directly inspected Head & Skin menu footage.,A brow-specific control is not visible.,not_needed,yes,no,,REMOVED_FROM_OWNER_RECORDING_GUIDE,Second verifier should confirm absence during independent Head & Skin menu mapping; do not record a dedicated eyebrow clip unless a future menu row appears.,NOT_ELIGIBLE
15,REQ-ORDER-hair-color,Hair Color native order and boundaries,Hair colors,PARTIALLY_COVERED_BY_EXISTING_VIDEO,CF27_XBOX_SOURCE_2026_08_02_002,CF27_XBOX_SOURCE_2026_08_02_002 @ 100-174,existing category derivatives; count/order audit rows,Hair colors selected labels/options are visible in existing media.,"Selector beginning, final value, two-count continuity, and wrap/no-wrap behavior are not production-proven from existing footage alone.",no,no,yes,CF27-MIN-RECAP-009,IN_OWNER_MINIMUM_RECORDING_GUIDE,"Record the shortest Hair colors boundary/order clip showing first value, final value, and wrap/no-wrap proof with readable label/index.",NOT_ELIGIBLE
16,REQ-ORDER-hairstyles,Hair Style native order and boundaries,Hairstyles,PARTIALLY_COVERED_BY_EXISTING_VIDEO,CF27_XBOX_SOURCE_2026_08_02_002,CF27_XBOX_SOURCE_2026_08_02_002 @ 5-99,existing category derivatives; count/order audit rows,Hairstyles selected labels/options are visible in existing media.,"Selector beginning, final value, two-count continuity, and wrap/no-wrap behavior are not production-proven from existing footage alone.",no,no,yes,CF27-MIN-RECAP-010,IN_OWNER_MINIMUM_RECORDING_GUIDE,"Record the shortest Hairstyles boundary/order clip showing first value, final value, and wrap/no-wrap proof with readable label/index.",NOT_ELIGIBLE
17,REQ-VIEWS-hairstyles,Hairstyle standardized required views,Hairstyles,EXISTING_FRAME_EXTRACTION_REQUIRED,CF27_XBOX_SOURCE_2026_08_02_002,CF27_XBOX_SOURCE_2026_08_02_002 @ 5-99,August 2026 hair-style derivatives; production_verification_queue missingViews for hairstyles,Existing footage contains Hair Style menu evidence and multiple preview angles.,"Current derivatives do not isolate all requested front, three-quarter, profile, and rear hairstyle evidence frames.",yes,yes,no,,REMOVED_FROM_OWNER_RECORDING_GUIDE,Extract standardized hairstyle frames from the existing Hair Style master before requesting any new recording.,NOT_ELIGIBLE
18,REQ-ORDER-facial-hair-color,Facial Hair Color native order and boundaries,Facial-hair colors,PARTIALLY_COVERED_BY_EXISTING_VIDEO,CF27_XBOX_SOURCE_2026_08_02_002,CF27_XBOX_SOURCE_2026_08_02_002 @ 225-235.35,existing category derivatives; count/order audit rows,Facial-hair colors selected labels/options are visible in existing media.,"Selector beginning, final value, two-count continuity, and wrap/no-wrap behavior are not production-proven from existing footage alone.",no,no,yes,CF27-MIN-RECAP-007,IN_OWNER_MINIMUM_RECORDING_GUIDE,"Record the shortest Facial-hair colors boundary/order clip showing first value, final value, and wrap/no-wrap proof with readable label/index.",NOT_ELIGIBLE
19,REQ-ORDER-facial-hair,Facial Hair Style native order and boundaries,Facial hair,PARTIALLY_COVERED_BY_EXISTING_VIDEO,CF27_XBOX_SOURCE_2026_08_02_002,CF27_XBOX_SOURCE_2026_08_02_002 @ 175-224,existing category derivatives; count/order audit rows,Facial hair selected labels/options are visible in existing media.,"Selector beginning, final value, two-count continuity, and wrap/no-wrap behavior are not production-proven from existing footage alone.",no,no,yes,CF27-MIN-RECAP-006,IN_OWNER_MINIMUM_RECORDING_GUIDE,"Record the shortest Facial hair boundary/order clip showing first value, final value, and wrap/no-wrap proof with readable label/index.",NOT_ELIGIBLE
20,REQ-VIEWS-facial-hair,Facial Hair required views,Facial hair,EXISTING_FRAME_EXTRACTION_REQUIRED,CF27_XBOX_SOURCE_2026_08_02_002,CF27_XBOX_SOURCE_2026_08_02_002 @ 175-224,August 2026 facial-hair derivatives; production_verification_queue missingViews for facial hair,Existing footage contains Facial Hair Style menu evidence and multiple preview angles.,"Current derivatives do not isolate all requested front, three-quarter, and profile facial-hair evidence frames.",yes,yes,no,,REMOVED_FROM_OWNER_RECORDING_GUIDE,Extract standardized facial-hair frames from the existing Facial Hair Style master before requesting any new recording.,NOT_ELIGIBLE
21,REQ-DEPENDENCY-TESTS,Controlled dependency testing,Dependency tests,PARTIALLY_COVERED_BY_EXISTING_VIDEO,CF27_XBOX_SOURCE_2026_08_02_001; CF27_XBOX_SOURCE_2026_08_02_002; CF27_XBOX_SOURCE_2026_08_02_003,CF27_XBOX_SOURCE_2026_08_02_001 @ 5-240.24; CF27_XBOX_SOURCE_2026_08_02_002 @ 5-235.35; CF27_XBOX_SOURCE_2026_08_02_003 @ 5-163.8,August 2026 timeline derivatives,Existing media shows appearance and style controls being changed in the same environment.,"Controlled one-variable dependency tests are not shown; natural menu traversal cannot prove reset behavior, platform differences, unlock state, or count/order dependencies.",no,no,yes,CF27-MIN-RECAP-002,IN_OWNER_MINIMUM_RECORDING_GUIDE,Record targeted one-variable dependency tests after primary category evidence is complete.,NOT_ELIGIBLE
