targetNumber,targetID,targetName,category,sourceVideoID,timestampRange,observation,originalFilename,relativePath,sha256,durationSeconds,resolution,codec,timelineRecordsMatched,legacyTimelineEventsAvailable,targetClassification,productionStatus
4,REQ-ORDER-skin-tone,Skin Tone native order and boundaries,Skin tone,CF27_XBOX_SOURCE_2026_08_02_001,65-119,Skin Tone 20 and grid traversal are visible.,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,240.24,,,1,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
5,REQ-ORDER-skin-details,Skin Details native order and boundaries,Skin details,phase0-video-005,8-31.72,Selected Skin Details labels are directly readable.,04_Appearance_Skin_Details.MP4,,a86993245c6762c40ba1e66d4cf3961ba69462eeb6636b20ca0be63e3246b32b,31.72,,,10,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
5,REQ-ORDER-skin-details,Skin Details native order and boundaries,Skin details,CF27_XBOX_SOURCE_2026_08_02_001,120-144,Skin Details traversal is visible.,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,240.24,,,1,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
6,REQ-ORDER-eye-shape,Eye Shape native order and boundaries,Eye shape,phase0-video-006,14-24.93,Selected Eye Shape labels are directly readable.,45926e39-7553-43b1-803a-6ddc787c63dd.MP4,,84bdb04ca232a662a8add3ceef92f021ad6c96d241e536b12c0af968f3d92ca2,24.93,,,5,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
6,REQ-ORDER-eye-shape,Eye Shape native order and boundaries,Eye shape,CF27_XBOX_SOURCE_2026_08_02_001,145-159,Eye Shape traversal is visible.,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,240.24,,,1,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
7,REQ-ORDER-eye-color,Eye Color native order and boundaries,Eye color,phase0-video-007,12-29.33,Selected Eye Color labels are directly readable.,352535,,c07fdab8d65b19859ae5985dc4fb06bb9919aecf597996ab74463bc6020acfd3,29.33,,,7,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
7,REQ-ORDER-eye-color,Eye Color native order and boundaries,Eye color,CF27_XBOX_SOURCE_2026_08_02_001,160-184,Eye Color traversal is visible.,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,240.24,,,1,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
8,REQ-ORDER-ear-shape,Ear Shape native order and boundaries,Ear shape,phase0-video-009,16-30.21,Selected Ear Shape labels are directly readable.,352531,,e615e0919ebc50da7cdb1ec27ea302e28ac632b01728a88ca28ab0bb1f5902a1,30.21,,,5,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
8,REQ-ORDER-ear-shape,Ear Shape native order and boundaries,Ear shape,CF27_XBOX_SOURCE_2026_08_02_001,200-209,Ear Shape traversal is visible.,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,240.24,,,1,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
9,REQ-VIEWS-ear-shape,Ear Shape profile evidence,Ear shape,phase0-video-009,16-30.21,Ear Shape selected labels and profile-oriented preview frames are visible.,352531,,e615e0919ebc50da7cdb1ec27ea302e28ac632b01728a88ca28ab0bb1f5902a1,30.21,,,5,0,EXISTING_FRAME_EXTRACTION_REQUIRED,NOT_PRODUCTION_DATA
9,REQ-VIEWS-ear-shape,Ear Shape profile evidence,Ear shape,CF27_XBOX_SOURCE_2026_08_02_001,200-209,Supplemental Ear Shape menu traversal is visible.,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,240.24,,,1,0,EXISTING_FRAME_EXTRACTION_REQUIRED,NOT_PRODUCTION_DATA
10,REQ-ORDER-nose,Nose native order and boundaries,Nose,phase0-video-008,14-32.45,Selected Nose labels are directly readable.,352537,,301b6c7ba55233503e54296e55366cdd0468f0c23b5117be6ca5ff0363d5e5b7,32.45,,,8,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
10,REQ-ORDER-nose,Nose native order and boundaries,Nose,CF27_XBOX_SOURCE_2026_08_02_001,185-199,Nose traversal is visible.,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,240.24,,,1,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
11,REQ-VIEWS-nose,Nose required views,Nose,phase0-video-008,14-32.45,Nose selected labels and some angled preview frames are visible.,352537,,301b6c7ba55233503e54296e55366cdd0468f0c23b5117be6ca5ff0363d5e5b7,32.45,,,8,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
11,REQ-VIEWS-nose,Nose required views,Nose,CF27_XBOX_SOURCE_2026_08_02_001,185-199,Nose menu traversal is visible.,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,240.24,,,1,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
12,REQ-VIEWS-jaw-shape,Jaw Shape required views,Jaw shape,CF27_XBOX_SOURCE_2026_08_02_001,220-229,Jaw Shape Square label and front-ish preview are visible.,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,240.24,,,1,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
13,REQ-VIEWS-chin,Chin required views,Chin,CF27_XBOX_SOURCE_2026_08_02_001,230-240.24,Chin Square label and front-ish preview are visible.,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,240.24,,,1,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
14,REQ-EYEBROWS,Eyebrow or brow-control presence,Additional visible face-matching controls,CF27_XBOX_SOURCE_2026_08_02_001,0-240.24,"The inspected Head & Skin sweep shows Head Template, Skin Tone, Skin Details, Eye Shape, Eye Color, Nose, Ear Shape, Mouth Shape, Jaw Shape, and Chin.",EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,240.24,,,11,0,NOT_APPLICABLE_DIRECTLY_PROVEN,NOT_PRODUCTION_DATA
14,REQ-EYEBROWS,Eyebrow or brow-control presence,Additional visible face-matching controls,phase0-video-002,6-108.8,Head Template navigation and selected labels show no standalone brow row.,02_Appearance_Menu_Part_1.mp4.MOV,,b016660e24dd24e63b9f1b2412ef08e3e21a905ccc71e8b59adb406d10228a53,108.8,,,15,0,NOT_APPLICABLE_DIRECTLY_PROVEN,NOT_PRODUCTION_DATA
14,REQ-EYEBROWS,Eyebrow or brow-control presence,Additional visible face-matching controls,phase0-video-006,0-24.93,Navigation into Eye Shape shows brow controls are not separately selected in that path.,45926e39-7553-43b1-803a-6ddc787c63dd.MP4,,84bdb04ca232a662a8add3ceef92f021ad6c96d241e536b12c0af968f3d92ca2,24.93,,,6,0,NOT_APPLICABLE_DIRECTLY_PROVEN,NOT_PRODUCTION_DATA
15,REQ-ORDER-hair-color,Hair Color native order and boundaries,Hair colors,CF27_XBOX_SOURCE_2026_08_02_002,100-174,Hair Color labels and selected values are visible.,EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,,60f68a5c1af4f96f9f18c453440a7f8d6296aa661068b0092f3e41827e553d50,235.35,,,1,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
16,REQ-ORDER-hairstyles,Hair Style native order and boundaries,Hairstyles,CF27_XBOX_SOURCE_2026_08_02_002,5-99,Hair Style labels and selected values are visible.,EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,,60f68a5c1af4f96f9f18c453440a7f8d6296aa661068b0092f3e41827e553d50,235.35,,,1,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
17,REQ-VIEWS-hairstyles,Hairstyle standardized required views,Hairstyles,CF27_XBOX_SOURCE_2026_08_02_002,5-99,Hair Style labels and rotating preview angles are visible.,EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,,60f68a5c1af4f96f9f18c453440a7f8d6296aa661068b0092f3e41827e553d50,235.35,,,1,0,EXISTING_FRAME_EXTRACTION_REQUIRED,NOT_PRODUCTION_DATA
18,REQ-ORDER-facial-hair-color,Facial Hair Color native order and boundaries,Facial-hair colors,CF27_XBOX_SOURCE_2026_08_02_002,225-235.35,Facial Hair Color values including Purple are visible.,EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,,60f68a5c1af4f96f9f18c453440a7f8d6296aa661068b0092f3e41827e553d50,235.35,,,1,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
19,REQ-ORDER-facial-hair,Facial Hair Style native order and boundaries,Facial hair,CF27_XBOX_SOURCE_2026_08_02_002,175-224,Facial Hair Style labels including Mutton Chops are visible.,EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,,60f68a5c1af4f96f9f18c453440a7f8d6296aa661068b0092f3e41827e553d50,235.35,,,1,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
20,REQ-VIEWS-facial-hair,Facial Hair required views,Facial hair,CF27_XBOX_SOURCE_2026_08_02_002,175-224,Facial Hair Style labels and rotating preview angles are visible.,EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,,60f68a5c1af4f96f9f18c453440a7f8d6296aa661068b0092f3e41827e553d50,235.35,,,1,0,EXISTING_FRAME_EXTRACTION_REQUIRED,NOT_PRODUCTION_DATA
21,REQ-DEPENDENCY-TESTS,Controlled dependency testing,Dependency tests,CF27_XBOX_SOURCE_2026_08_02_001,5-240.24,Head & Skin settings change during traversal.,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,240.24,,,10,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
21,REQ-DEPENDENCY-TESTS,Controlled dependency testing,Dependency tests,CF27_XBOX_SOURCE_2026_08_02_002,5-235.35,Hair and facial-hair settings change during traversal.,EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,,60f68a5c1af4f96f9f18c453440a7f8d6296aa661068b0092f3e41827e553d50,235.35,,,4,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
21,REQ-DEPENDENCY-TESTS,Controlled dependency testing,Dependency tests,CF27_XBOX_SOURCE_2026_08_02_003,5-163.8,Styles/body-context rows are visible.,EA SPORTS™ College Football 27-2026_08_02-21_21_15.mp4,,90a29684f972dff7f41c33fb6457ee545a65c94292647ff9d91be1f1bc168586,163.8,,,4,0,PARTIALLY_COVERED_BY_EXISTING_VIDEO,NOT_PRODUCTION_DATA
