verifierQueueID,candidateID,category,claimedNativeLabel,claimedNativeIndex,claimedNativeOrder,evidenceSupportState,supportStateRationale,requiredIndependentInGameCheck,evidenceFileCheck,frontViewCheck,secondaryAngleRequirement,duplicateOrOrderIssue,requiredNotes,productionEligibilityState,blockingReason,userConfirmationRequired
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-eyeshape-003,CF27_XBOXUNKNOWN_RTG_EYESHAPE_003,Eye Shape,Prominent,3,3,SUPPORTED_WITH_NOTES,"Locked media clearly shows candidate identity/category/value and enough menu or visual evidence to advance to second-person verification, with nonfatal limitations preserved.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,REQUIRED_BY_DETERMINISTIC_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-appearance-control-eye-shape-recapture; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS; CATEGORY_COUNT_ORDER_INCOMPLETE,false
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-eyeshape-004,CF27_XBOXUNKNOWN_RTG_EYESHAPE_004,Eye Shape,Monolid,4,4,SUPPORTED_WITH_NOTES,"Locked media clearly shows candidate identity/category/value and enough menu or visual evidence to advance to second-person verification, with nonfatal limitations preserved.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,NOT_SELECTED_BY_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-appearance-control-eye-shape-recapture; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS; CATEGORY_COUNT_ORDER_INCOMPLETE,false
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-eyeshape-005,CF27_XBOXUNKNOWN_RTG_EYESHAPE_005,Eye Shape,Hooded,5,5,SUPPORTED_WITH_NOTES,"Locked media clearly shows candidate identity/category/value and enough menu or visual evidence to advance to second-person verification, with nonfatal limitations preserved.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,REQUIRED_BY_DETERMINISTIC_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-appearance-control-eye-shape-recapture; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS; CATEGORY_COUNT_ORDER_INCOMPLETE,false
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-hairstyle-short-curly,CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY,Hairstyles,Short Curly,1,1,SUPPORTED_WITH_NOTES,"Locked media clearly shows candidate identity/category/value and enough menu or visual evidence to advance to second-person verification, with nonfatal limitations preserved.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,REQUIRED_BY_DETERMINISTIC_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS; CATEGORY_COUNT_ORDER_INCOMPLETE; COVERAGE:INCOMPLETE_EVIDENCE,false
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-head-001,CF27_XBOXUNKNOWN_RTG_HEAD_001,Heads,Face 1,1,1,SUPPORTED_WITH_NOTES,"Locked media clearly shows candidate identity/category/value and enough menu or visual evidence to advance to second-person verification, with nonfatal limitations preserved.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,REQUIRED_BY_DETERMINISTIC_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS,false
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-head-002,CF27_XBOXUNKNOWN_RTG_HEAD_002,Heads,Face 2,2,2,SUPPORTED_WITH_NOTES,"Locked media clearly shows candidate identity/category/value and enough menu or visual evidence to advance to second-person verification, with nonfatal limitations preserved.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,NOT_SELECTED_BY_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS,false
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-head-003,CF27_XBOXUNKNOWN_RTG_HEAD_003,Heads,Face 3,3,3,SUPPORTED_WITH_NOTES,"Locked media clearly shows candidate identity/category/value and enough menu or visual evidence to advance to second-person verification, with nonfatal limitations preserved.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,NOT_SELECTED_BY_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS,false
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-head-004,CF27_XBOXUNKNOWN_RTG_HEAD_004,Heads,Face 4,4,4,SUPPORTED_WITH_NOTES,"Locked media clearly shows candidate identity/category/value and enough menu or visual evidence to advance to second-person verification, with nonfatal limitations preserved.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,NOT_SELECTED_BY_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS,false
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-head-005,CF27_XBOXUNKNOWN_RTG_HEAD_005,Heads,Face 5,5,5,SUPPORTED_WITH_NOTES,"Locked media clearly shows candidate identity/category/value and enough menu or visual evidence to advance to second-person verification, with nonfatal limitations preserved.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,NOT_SELECTED_BY_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS,false
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-head-006,CF27_XBOXUNKNOWN_RTG_HEAD_006,Heads,Face 6,6,6,SUPPORTED_WITH_NOTES,"Locked media clearly shows candidate identity/category/value and enough menu or visual evidence to advance to second-person verification, with nonfatal limitations preserved.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,REQUIRED_BY_DETERMINISTIC_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS,false
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-head-007,CF27_XBOXUNKNOWN_RTG_HEAD_007,Heads,Face 7,7,7,SUPPORTED_WITH_NOTES,"Locked media clearly shows candidate identity/category/value and enough menu or visual evidence to advance to second-person verification, with nonfatal limitations preserved.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,REQUIRED_BY_DETERMINISTIC_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS,false
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-head-008,CF27_XBOXUNKNOWN_RTG_HEAD_008,Heads,Face 8,8,8,SUPPORTED_WITH_NOTES,"Locked media clearly shows candidate identity/category/value and enough menu or visual evidence to advance to second-person verification, with nonfatal limitations preserved.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,NOT_SELECTED_BY_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS,false
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-head-009,CF27_XBOXUNKNOWN_RTG_HEAD_009,Heads,Face 9,9,9,SUPPORTED_WITH_NOTES,"Locked media clearly shows candidate identity/category/value and enough menu or visual evidence to advance to second-person verification, with nonfatal limitations preserved.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,NOT_SELECTED_BY_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS,false
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-head-010,CF27_XBOXUNKNOWN_RTG_HEAD_010,Heads,Face 10,10,10,SUPPORTED_WITH_NOTES,"Locked media clearly shows candidate identity/category/value and enough menu or visual evidence to advance to second-person verification, with nonfatal limitations preserved.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,NOT_SELECTED_BY_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS,false
cf27-supported-subset-verifier-cf27-xboxunknown-rtg-head-011,CF27_XBOXUNKNOWN_RTG_HEAD_011,Heads,Face 11,11,11,SUPPORTED_WITH_NOTES,"Locked media clearly shows candidate identity/category/value and enough menu or visual evidence to advance to second-person verification, with nonfatal limitations preserved.",Verify the native label/index/order and whether the same option exists in the shipping game environment. Record any mismatch as a disagreement.,Confirm each listed evidence reference resolves or record MISSING_EVIDENCE.,MISSING_FROM_CURRENT_DERIVATIVES,REQUIRED_BY_DETERMINISTIC_SAMPLE,NONE,true,NOT_ELIGIBLE,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; ISSUE:issue-phase0-primary-review-category-incomplete; ISSUE:issue-phase0-primary-review-environment-unresolved; MISSING_REQUIRED_VIEWS,false
