audit_row_id,row_type,candidate_or_requirement_id,category,native_label_index_order,native_order,existing_source_video,start_timestamp,end_timestamp,existing_derivative_frame_references,clearly_visible,not_visible,required_views,available_views,missing_views,menu_label_visible,native_order_visible,environment_metadata_available,framing_quality,lighting_consistency,obstruction_notes,hairstyle_consistency,facial_hair_consistency,eye_black_or_accessory_obstruction,motion_or_compression_issue,primary_classification,confidence_in_classification,can_frame_reextraction_solve_it,can_second_verifier_review_solve_it,requires_new_recording,exact_reason,exact_next_action,production_eligibility,blocking_reason
video-phase0-video-008,VIDEO_FILE,phase0-video-008,Source-video inventory,,,phase0-video-008,0,32.45,phase0-frame-video-008-tl-002; phase0-frame-video-008-tl-003; phase0-frame-video-008-tl-004; phase0-frame-video-008-tl-005; phase0-frame-video-008-tl-006; phase0-frame-video-008-tl-007; phase0-frame-video-008-tl-008; phase0-frame-video-008-tl-009; phase0-source-phase0-video-008,"352537 inventory row records 32.45s, 1920x1080, h264 (Main) (avc1 / 0x31637661), SHA-256 301b6c7ba55233503e54296e55366cdd0468f0c23b5117be6ca5ff0363d5e5b7.",Source master is a portable OWNER_DOWNLOADS reference and is not locally present in this checkout.,SOURCE_MASTER,SOURCE_MASTER_REFERENCE,,not_applicable,not_applicable,partial,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,PORTABLE_EXTERNAL_MASTER_NOT_LOCAL,CLEAR_EXISTING_EVIDENCE_WITH_NOTES,high,no,yes,no,"The manifest preserves metadata/hash coverage, but the master is not local in this checkout.","If available, re-add the original master through intake; otherwise review existing derivatives only.",NOT_ELIGIBLE,Source-video inventory alone does not production-approve catalog records.
video-phase0-video-009,VIDEO_FILE,phase0-video-009,Source-video inventory,,,phase0-video-009,0,30.21,phase0-frame-video-009-tl-002; phase0-frame-video-009-tl-003; phase0-frame-video-009-tl-004; phase0-frame-video-009-tl-005; phase0-frame-video-009-tl-006; phase0-source-phase0-video-009,"352531 inventory row records 30.21s, 1920x1080, h264 (Main) (avc1 / 0x31637661), SHA-256 e615e0919ebc50da7cdb1ec27ea302e28ac632b01728a88ca28ab0bb1f5902a1.",Source master is a portable OWNER_DOWNLOADS reference and is not locally present in this checkout.,SOURCE_MASTER,SOURCE_MASTER_REFERENCE,,not_applicable,not_applicable,partial,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,PORTABLE_EXTERNAL_MASTER_NOT_LOCAL,CLEAR_EXISTING_EVIDENCE_WITH_NOTES,high,no,yes,no,"The manifest preserves metadata/hash coverage, but the master is not local in this checkout.","If available, re-add the original master through intake; otherwise review existing derivatives only.",NOT_ELIGIBLE,Source-video inventory alone does not production-approve catalog records.
video-phase0-video-010,VIDEO_FILE,phase0-video-010,Source-video inventory,,,phase0-video-010,0,31.72,,Exact duplicate upload of phase0-video-005; no new coverage.,Source master is a portable OWNER_DOWNLOADS reference and is not locally present in this checkout.,SOURCE_MASTER,SOURCE_MASTER_REFERENCE,,not_applicable,not_applicable,partial,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,PORTABLE_EXTERNAL_MASTER_NOT_LOCAL,DUPLICATE_UPLOAD_NO_NEW_COVERAGE,high,no,no,no,This upload has the same hash/identity as phase0-video-005 and should not be counted as additional evidence coverage.,Preserve duplicate documentation; do not delete or count as new coverage.,NOT_ELIGIBLE,Source-video inventory alone does not production-approve catalog records.
video-phase0-video-011,VIDEO_FILE,phase0-video-011,Source-video inventory,,,phase0-video-011,0,53.82,,Exact duplicate upload of phase0-video-004; no new coverage.,Source master is a portable OWNER_DOWNLOADS reference and is not locally present in this checkout.,SOURCE_MASTER,SOURCE_MASTER_REFERENCE,,not_applicable,not_applicable,partial,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,VIDEO_FILE_LEVEL,VIDEO_FILE_LEVEL,,PORTABLE_EXTERNAL_MASTER_NOT_LOCAL,DUPLICATE_UPLOAD_NO_NEW_COVERAGE,high,no,no,no,This upload has the same hash/identity as phase0-video-004 and should not be counted as additional evidence coverage.,Preserve duplicate documentation; do not delete or count as new coverage.,NOT_ELIGIBLE,Source-video inventory alone does not production-approve catalog records.
requirement-REQ-EYEBROWS,EVIDENCE_REQUIREMENT,REQ-EYEBROWS,Additional visible face-matching controls,,,CF27_XBOX_SOURCE_2026_08_02_001; phase0-video-002; phase0-video-003; phase0-video-006; phase0-video-007,0,240.24,,"Existing Head & Skin menu sweeps show Head Template, Skin Tone, Skin Details, Eye Shape, Eye Color, Nose, Ear Shape, Mouth Shape, Jaw Shape, and Chin. No standalone eyebrow, brow shape, or brow color row appears in those inspected menu sweeps.",A standalone eyebrow/brow control is not visible in the directly inspected CF27 Head & Skin menu footage.,MENU,,MENU,yes,partial,partial,REQUIREMENT_LEVEL,REQUIREMENT_LEVEL,,REQUIREMENT_LEVEL,REQUIREMENT_LEVEL,,,NOT_APPLICABLE,medium,no,yes,no,A standalone eyebrow/brow control is not visible in the directly inspected CF27 Head & Skin menu footage.,Do not request a dedicated eyebrow recapture unless future menu evidence reveals a brow-specific row. The second verifier should confirm absence while independently mapping Head & Skin.,NOT_ELIGIBLE,Production remains blocked until verification and production gates pass.
requirement-REQ-APPEARANCE-MENU-MAP,EVIDENCE_REQUIREMENT,REQ-APPEARANCE-MENU-MAP,Appearance menu map,,,CF27_XBOX_SOURCE_2026_08_02_001; CF27_XBOX_SOURCE_2026_08_02_002; CF27_XBOX_SOURCE_2026_08_02_003; phase0-video-001; phase0-video-002; phase0-video-003; phase0-video-004; phase0-video-005; phase0-video-006; phase0-video-007; phase0-video-008; phase0-video-009,,,,Visible menu/category labels include: Appearance menu / Head & Skin row; Head Template; Skin Tone; Skin Details; Eye Shape; Eye Color; Nose; Ear Shape; Mouth Shape; Jaw Shape; Chin; Appearance menu / Hair row; Hair Style; Hair Color; Facial Hair Style; Facial Hair Color; Player body / Styles entry; QB Throw Style; Run Style; QB Under Center Stance; 2-Point Stance rows; College Football hub / Road to Glory navigation; Road to Glory transition/loading; Road to Glory menu/start area; Archetype / prospect selection cards; Player setup / position path; Transition into player creation; Create Player appearance path/menu; Create Player menu navigation; Create Player preview / build-equipment area; Exit confirmation modal; Create Player menu after exit cancellation/return; Create Player / Appearance navigation; Head & Skin submenu; Head Template transition/loading; HEAD TEMPLATE; Head & Skin / Head Template navigation; SKIN TONE; Head & Skin / Head Template / Skin Tone navigation; SKIN DETAILS; Head & Skin navigation toward Eye Shape; EYE SHAPE; Head & Skin navigation toward Eye Color; EYE COLOR; Head & Skin navigation toward Nose; NOSE; Head & Skin navigation toward Ear Shape; EAR SHAPE.,A complete proof of every menu row and scroll boundary is not fully established for production.,,,,yes,partial,partial,REQUIREMENT_LEVEL,REQUIREMENT_LEVEL,,REQUIREMENT_LEVEL,REQUIREMENT_LEVEL,,,CLEAR_EXISTING_EVIDENCE_WITH_NOTES,medium,no,yes,no,A complete proof of every menu row and scroll boundary is not fully established for production.,Use current timelines for verifier review; only targeted boundary clips should be requested where count/order audit rows remain incomplete.,NOT_ELIGIBLE,Production remains blocked until verification and production gates pass.
requirement-REQ-ORDER-body-controls-position-context,EVIDENCE_REQUIREMENT,REQ-ORDER-body-controls-position-context,Body or physique controls,,,phase0-video-001,,,,Body Controls / Position Context count/order audit is complete for current research scope.,,,,,yes,partial,partial,REQUIREMENT_LEVEL,REQUIREMENT_LEVEL,,REQUIREMENT_LEVEL,REQUIREMENT_LEVEL,,,CLEAR_EXISTING_EVIDENCE_WITH_NOTES,medium,no,yes,no,Body Controls / Position Context count/order audit is complete for current research scope.,Second verifier confirmation still required before production.,NOT_ELIGIBLE,Production remains blocked until verification and production gates pass.
requirement-REQ-VIEWS-chin,EVIDENCE_REQUIREMENT,REQ-VIEWS-chin,Chin,,,CF27_XBOX_SOURCE_2026_08_02_001,,,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-011,Chin has current menu/selected-value evidence for 1 candidate row(s).,"Missing required production view(s): FRONT, LEFT_PROFILE, RIGHT_PROFILE.",FRONT; LEFT_PROFILE; RIGHT_PROFILE,,FRONT; LEFT_PROFILE; RIGHT_PROFILE,yes,partial,partial,REQUIREMENT_LEVEL,REQUIREMENT_LEVEL,,REQUIREMENT_LEVEL,REQUIREMENT_LEVEL,,,GENUINE_RECAPTURE_REQUIRED,high,no,no,yes,"Missing required production view(s): FRONT, LEFT_PROFILE, RIGHT_PROFILE.",Record targeted Chin views with canonical settings; do not rerecord unrelated categories.,NOT_ELIGIBLE,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
requirement-REQ-DEPENDENCY-TESTS,EVIDENCE_REQUIREMENT,REQ-DEPENDENCY-TESTS,Dependency tests,,,,,,,"No current candidate is marked with a dependency flag, and body/style context is visible.","Controlled one-variable dependency tests for position, archetype, head, skin, hairstyle, facial hair, online/offline, patch, and platform.",DEPENDENCY_TEST,,DEPENDENCY_TEST,yes,no,partial,REQUIREMENT_LEVEL,REQUIREMENT_LEVEL,,REQUIREMENT_LEVEL,REQUIREMENT_LEVEL,,,GENUINE_RECAPTURE_REQUIRED,high,no,no,yes,"Controlled one-variable dependency tests for position, archetype, head, skin, hairstyle, facial hair, online/offline, patch, and platform.","After primary category capture is complete, record targeted one-variable dependency tests for the supported environment. Do not mark unexecuted dependencies as passed.",NOT_ELIGIBLE,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
requirement-REQ-ORDER-ear-shape,EVIDENCE_REQUIREMENT,REQ-ORDER-ear-shape,Ear shape,,,phase0-video-009,,,,Ear Shape has observed options with evidence for every claimed option row where present.,"Selector beginning/final boundary, two complete counts, wrap behavior, or native-order continuity is not production-proven: beginningBoundary: NOT_DEMONSTRATED_AS_SELECTOR_BOUNDARY; endingBoundary: NOT_DEMONSTRATED_AS_SELECTOR_BOUNDARY; twoCompleteCounts: Two complete independent counts are not available.; repeatedIndices: Repeated selected indices or labels: 2.; wrappingBehavior: NOT_DEMONSTRATED; countMatchesRecordTotal: No total count is claimed, so count cannot be matched to record total.; unprovenFinalOptionClaims: LAST_OBSERVED_IN_CURRENT_FOOTAGE_NOT_PROVEN_FINAL_AVAILABLE",MENU,,MENU,yes,partial,partial,REQUIREMENT_LEVEL,REQUIREMENT_LEVEL,,REQUIREMENT_LEVEL,REQUIREMENT_LEVEL,,,GENUINE_RECAPTURE_REQUIRED,high,no,no,yes,"Selector beginning/final boundary, two complete counts, wrap behavior, or native-order continuity is not production-proven: beginningBoundary: NOT_DEMONSTRATED_AS_SELECTOR_BOUNDARY; endingBoundary: NOT_DEMONSTRATED_AS_SELECTOR_BOUNDARY; twoCompleteCounts: Two complete independent counts are not available.; repeatedIndices: Repeated selected indices or labels: 2.; wrappingBehavior: NOT_DEMONSTRATED; countMatchesRecordTotal: No total count is claimed, so count cannot be matched to record total.; unprovenFinalOptionClaims: LAST_OBSERVED_IN_CURRENT_FOOTAGE_NOT_PROVEN_FINAL_AVAILABLE","Record the shortest possible Ear Shape boundary/order clip: first value, every selected transition needed for the current gap, final value, and wrap/no-wrap proof.",NOT_ELIGIBLE,Existing footage was inspected and cannot satisfy this production requirement; frame extraction and verifier review cannot create the missing fact/view/boundary.
requirement-REQ-VIEWS-ear-shape,EVIDENCE_REQUIREMENT,REQ-VIEWS-ear-shape,Ear shape,,,phase0-video-009,,,phase0-frame-video-009-tl-003; phase0-frame-video-009-tl-002; phase0-frame-video-009-tl-004; phase0-frame-video-009-tl-005; phase0-frame-video-009-tl-006,Ear Shape has selected-value menu evidence plus profile-oriented preview frames in phase0-video-009 and the August 2026 Head & Skin sweep.,"Current derivatives do not yet isolate the requested LEFT_PROFILE, RIGHT_PROFILE view(s) for every affected ear-shape candidate.",LEFT_PROFILE; RIGHT_PROFILE,MENU; FRONT; PROFILE_ORIENTED_PREVIEW_IN_SOURCE_VIDEO,LEFT_PROFILE; RIGHT_PROFILE,yes,partial,partial,SOURCE_CONTAINS_PREVIEW_BUT_CURRENT_VIEW_TAG_INADEQUATE,REQUIREMENT_LEVEL,,REQUIREMENT_LEVEL,REQUIREMENT_LEVEL,,,FRAME_REEXTRACTION_REQUIRED,high,yes,yes,no,"Current derivatives do not yet isolate the requested LEFT_PROFILE, RIGHT_PROFILE view(s) for every affected ear-shape candidate.",Extract best full-resolution profile evidence frames from existing Ear Shape footage before requesting any new Xbox recording.,NOT_ELIGIBLE,Production remains blocked until verification and production gates pass.
