capture_event_id,timeline_record_id,video_id,start_timestamp,end_timestamp,category,native_option,action,evidence_generated,issue_detected,verification_state,notes,head_research_catalog_id,head_native_option_number,head_research_flags
capture-phase0-video-001-tl-011,phase0-video-001-tl-011,phase0-video-001,67,70,Exit confirmation modal,,menu_exit_observed,phase0-frame-video-001-tl-011,transition_active,OBSERVED_PENDING_VERIFICATION,Leave/exit confirmation modal appears.,,,
capture-phase0-video-001-tl-012,phase0-video-001-tl-012,phase0-video-001,71,73.57,Create Player menu after exit cancellation/return,,timeline_observation,phase0-frame-video-001-tl-012,obstruction_present,OBSERVED_PENDING_VERIFICATION,Returns to player creation/menu state; small bottom notification overlay appears near the end.,,,
capture-phase0-video-002-tl-001,phase0-video-002-tl-001,phase0-video-002,0,5,Create Player / Appearance navigation,,timeline_observation,,,OBSERVED_PENDING_VERIFICATION,,,,
capture-phase0-video-002-tl-002,phase0-video-002-tl-002,phase0-video-002,6,7,Head & Skin submenu,,timeline_observation,,,OBSERVED_PENDING_VERIFICATION,Navigation into head/skin area before Head Template grid.,,,
capture-phase0-video-002-tl-003,phase0-video-002-tl-003,phase0-video-002,8,9,Head Template transition/loading,,loading_or_transition,,obstruction_present; transition_active,OBSERVED_PENDING_VERIFICATION,Transition into Head Template. EA/music notification overlay visible around this entry.,,,
capture-phase0-video-002-tl-004,phase0-video-002-tl-004,phase0-video-002,10,19,HEAD TEMPLATE,Face 1,selected_option_observed,phase0-frame-video-002-tl-004,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.,CF27_XBOXUNKNOWN_RTG_HEAD_001,1,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-002-tl-005,phase0-video-002-tl-005,phase0-video-002,20,28,HEAD TEMPLATE,Face 2,selected_option_observed,phase0-frame-video-002-tl-005,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.,CF27_XBOXUNKNOWN_RTG_HEAD_002,2,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-002-tl-006,phase0-video-002-tl-006,phase0-video-002,29,38,HEAD TEMPLATE,Face 3,selected_option_observed,phase0-frame-video-002-tl-006,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.,CF27_XBOXUNKNOWN_RTG_HEAD_003,3,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-002-tl-007,phase0-video-002-tl-007,phase0-video-002,39,48,HEAD TEMPLATE,Face 4,selected_option_observed,phase0-frame-video-002-tl-007,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.,CF27_XBOXUNKNOWN_RTG_HEAD_004,4,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-002-tl-008,phase0-video-002-tl-008,phase0-video-002,49,53,HEAD TEMPLATE,Face 8,selected_option_observed,phase0-frame-video-002-tl-008,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.,CF27_XBOXUNKNOWN_RTG_HEAD_008,8,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-002-tl-009,phase0-video-002-tl-009,phase0-video-002,54,59,HEAD TEMPLATE,Face 7,selected_option_observed,phase0-frame-video-002-tl-009,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.,CF27_XBOXUNKNOWN_RTG_HEAD_007,7,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-002-tl-010,phase0-video-002-tl-010,phase0-video-002,60,68,HEAD TEMPLATE,Face 6,selected_option_observed,phase0-frame-video-002-tl-010,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.,CF27_XBOXUNKNOWN_RTG_HEAD_006,6,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-002-tl-011,phase0-video-002-tl-011,phase0-video-002,69,74,HEAD TEMPLATE,Face 5,selected_option_observed,phase0-frame-video-002-tl-011,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.,CF27_XBOXUNKNOWN_RTG_HEAD_005,5,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-002-tl-012,phase0-video-002-tl-012,phase0-video-002,75,79,HEAD TEMPLATE,Face 9,selected_option_observed,phase0-frame-video-002-tl-012,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.,CF27_XBOXUNKNOWN_RTG_HEAD_009,9,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-002-tl-013,phase0-video-002-tl-013,phase0-video-002,80,88,HEAD TEMPLATE,Face 10,selected_option_observed,phase0-frame-video-002-tl-013,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.,CF27_XBOXUNKNOWN_RTG_HEAD_010,10,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-002-tl-014,phase0-video-002-tl-014,phase0-video-002,89,94,HEAD TEMPLATE,Face 11,selected_option_observed,phase0-frame-video-002-tl-014,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.,CF27_XBOXUNKNOWN_RTG_HEAD_011,11,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-002-tl-015,phase0-video-002-tl-015,phase0-video-002,95,100,HEAD TEMPLATE,Face 12,selected_option_observed,phase0-frame-video-002-tl-015,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.,CF27_XBOXUNKNOWN_RTG_HEAD_012,12,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-002-tl-016,phase0-video-002-tl-016,phase0-video-002,101,108.8,HEAD TEMPLATE,Face 16,selected_option_observed,phase0-frame-video-002-tl-016,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options. This selected label appears despite the source-manifest description of this recording as Face 1 through Face 12; timeline records the observed selected state only.,CF27_XBOXUNKNOWN_RTG_HEAD_016,16,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-003-tl-001,phase0-video-003-tl-001,phase0-video-003,0,4,HEAD TEMPLATE,Face 12,selected_option_observed,phase0-frame-video-003-tl-001,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected. Recording begins mid-option on an already selected Head Template item; intentional overlap with video-002 is preserved.,CF27_XBOXUNKNOWN_RTG_HEAD_012,12,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-003-tl-002,phase0-video-003-tl-002,phase0-video-003,5,13,HEAD TEMPLATE,Face 16,selected_option_observed,phase0-frame-video-003-tl-002,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.,CF27_XBOXUNKNOWN_RTG_HEAD_016,16,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-003-tl-003,phase0-video-003-tl-003,phase0-video-003,14,20,HEAD TEMPLATE,Face 14,selected_option_observed,phase0-frame-video-003-tl-003,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.,CF27_XBOXUNKNOWN_RTG_HEAD_014,14,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Frame-path/catalog-ID mismatch requires manual review before reuse.; Recapture required before production comparison.
capture-phase0-video-003-tl-004,phase0-video-003-tl-004,phase0-video-003,21,29,HEAD TEMPLATE,Face 13,selected_option_observed,phase0-frame-video-003-tl-004,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.,CF27_XBOXUNKNOWN_RTG_HEAD_013,13,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-003-tl-005,phase0-video-003-tl-005,phase0-video-003,30,39,HEAD TEMPLATE,Face 17,selected_option_observed,phase0-frame-video-003-tl-005,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.,CF27_XBOXUNKNOWN_RTG_HEAD_017,17,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-003-tl-006,phase0-video-003-tl-006,phase0-video-003,40,49,HEAD TEMPLATE,Face 18,selected_option_observed,phase0-frame-video-003-tl-006,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.,CF27_XBOXUNKNOWN_RTG_HEAD_018,18,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-003-tl-007,phase0-video-003-tl-007,phase0-video-003,50,59,HEAD TEMPLATE,Face 23,selected_option_observed,phase0-frame-video-003-tl-007,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.,CF27_XBOXUNKNOWN_RTG_HEAD_023,23,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-003-tl-008,phase0-video-003-tl-008,phase0-video-003,60,69,HEAD TEMPLATE,Face 24,selected_option_observed,phase0-frame-video-003-tl-008,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.,CF27_XBOXUNKNOWN_RTG_HEAD_024,24,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-003-tl-009,phase0-video-003-tl-009,phase0-video-003,70,79,HEAD TEMPLATE,Face 22,selected_option_observed,phase0-frame-video-003-tl-009,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.,CF27_XBOXUNKNOWN_RTG_HEAD_022,22,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-003-tl-010,phase0-video-003-tl-010,phase0-video-003,80,89,HEAD TEMPLATE,Face 21,selected_option_observed,phase0-frame-video-003-tl-010,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.,CF27_XBOXUNKNOWN_RTG_HEAD_021,21,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-003-tl-011,phase0-video-003-tl-011,phase0-video-003,90,99,HEAD TEMPLATE,Face 27,selected_option_observed,phase0-frame-video-003-tl-011,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.,CF27_XBOXUNKNOWN_RTG_HEAD_027,27,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Frame-path/catalog-ID mismatch requires manual review before reuse.; Recapture required before production comparison.
capture-phase0-video-003-tl-012,phase0-video-003-tl-012,phase0-video-003,100,109,HEAD TEMPLATE,Face 28,selected_option_observed,phase0-frame-video-003-tl-012,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.,CF27_XBOXUNKNOWN_RTG_HEAD_028,28,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Frame-path/catalog-ID mismatch requires manual review before reuse.; Recapture required before production comparison.
capture-phase0-video-003-tl-013,phase0-video-003-tl-013,phase0-video-003,110,119,HEAD TEMPLATE,Face 31,selected_option_observed,phase0-frame-video-003-tl-013,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.,CF27_XBOXUNKNOWN_RTG_HEAD_031,31,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Frame-path/catalog-ID mismatch requires manual review before reuse.; Recapture required before production comparison.
capture-phase0-video-003-tl-014,phase0-video-003-tl-014,phase0-video-003,120,126,HEAD TEMPLATE,Face 30,selected_option_observed,phase0-frame-video-003-tl-014,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.,CF27_XBOXUNKNOWN_RTG_HEAD_030,30,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Frame-path/catalog-ID mismatch requires manual review before reuse.; Recapture required before production comparison.
capture-phase0-video-003-tl-015,phase0-video-003-tl-015,phase0-video-003,127,133.02,HEAD TEMPLATE,Face 29,selected_option_observed,phase0-frame-video-003-tl-015,,OBSERVED_PENDING_VERIFICATION,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected. Recording ends while still in Head Template with Face 29 selected.,CF27_XBOXUNKNOWN_RTG_HEAD_029,29,Black cheek eye paint is present in the current head-template footage.; Hair/facial-hair state is not independently locked by evidence.; Non-menu angles are approximate derivatives where available.; Menu UI/framing is not a production geometric comparison protocol.; Recapture required before production comparison.
capture-phase0-video-004-tl-001,phase0-video-004-tl-001,phase0-video-004,0,7,Head & Skin / Head Template navigation,,loading_or_transition,,transition_active,OBSERVED_PENDING_VERIFICATION,"Navigation from Head Template toward Skin Tone; Face 1 appears as prior selected head context, not a newly indexed option.",,,
capture-phase0-video-004-tl-002,phase0-video-004-tl-002,phase0-video-004,8,11,SKIN TONE,Skin Tone 09,selected_option_observed,phase0-frame-video-004-tl-002,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-003,phase0-video-004-tl-003,phase0-video-004,12,13,SKIN TONE,Skin Tone 04,selected_option_observed,phase0-frame-video-004-tl-003,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-004,phase0-video-004-tl-004,phase0-video-004,14,14,SKIN TONE,Skin Tone 10,selected_option_observed,phase0-frame-video-004-tl-004,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-005,phase0-video-004-tl-005,phase0-video-004,15,16,SKIN TONE,Skin Tone 20,selected_option_observed,phase0-frame-video-004-tl-005,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-006,phase0-video-004-tl-006,phase0-video-004,17,19,SKIN TONE,Skin Tone 19,selected_option_observed,phase0-frame-video-004-tl-006,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-007,phase0-video-004-tl-007,phase0-video-004,20,22,SKIN TONE,Skin Tone 18,selected_option_observed,phase0-frame-video-004-tl-007,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-008,phase0-video-004-tl-008,phase0-video-004,23,24,SKIN TONE,Skin Tone 21,selected_option_observed,phase0-frame-video-004-tl-008,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-009,phase0-video-004-tl-009,phase0-video-004,25,26,SKIN TONE,Skin Tone 08,selected_option_observed,phase0-frame-video-004-tl-009,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-010,phase0-video-004-tl-010,phase0-video-004,27,28,SKIN TONE,Skin Tone 07,selected_option_observed,phase0-frame-video-004-tl-010,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-011,phase0-video-004-tl-011,phase0-video-004,29,30,SKIN TONE,Skin Tone 06,selected_option_observed,phase0-frame-video-004-tl-011,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-012,phase0-video-004-tl-012,phase0-video-004,31,32,SKIN TONE,Skin Tone 29,selected_option_observed,phase0-frame-video-004-tl-012,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-013,phase0-video-004-tl-013,phase0-video-004,33,34,SKIN TONE,Skin Tone 24,selected_option_observed,phase0-frame-video-004-tl-013,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-014,phase0-video-004-tl-014,phase0-video-004,35,36,SKIN TONE,Skin Tone 22,selected_option_observed,phase0-frame-video-004-tl-014,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-015,phase0-video-004-tl-015,phase0-video-004,37,38,SKIN TONE,Skin Tone 17,selected_option_observed,phase0-frame-video-004-tl-015,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-016,phase0-video-004-tl-016,phase0-video-004,39,40,SKIN TONE,Skin Tone 13,selected_option_observed,phase0-frame-video-004-tl-016,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-017,phase0-video-004-tl-017,phase0-video-004,41,42,SKIN TONE,Skin Tone 10,selected_option_observed,phase0-frame-video-004-tl-017,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-018,phase0-video-004-tl-018,phase0-video-004,43,44,SKIN TONE,Skin Tone 12,selected_option_observed,phase0-frame-video-004-tl-018,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-019,phase0-video-004-tl-019,phase0-video-004,45,46,SKIN TONE,Skin Tone 01,selected_option_observed,phase0-frame-video-004-tl-019,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-020,phase0-video-004-tl-020,phase0-video-004,47,47,SKIN TONE,Skin Tone 02,selected_option_observed,phase0-frame-video-004-tl-020,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-021,phase0-video-004-tl-021,phase0-video-004,48,49,SKIN TONE,Skin Tone 03,selected_option_observed,phase0-frame-video-004-tl-021,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-022,phase0-video-004-tl-022,phase0-video-004,50,51,SKIN TONE,Skin Tone 11,selected_option_observed,phase0-frame-video-004-tl-022,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-004-tl-023,phase0-video-004-tl-023,phase0-video-004,52,53.82,SKIN TONE,Skin Tone 23,selected_option_observed,phase0-frame-video-004-tl-023,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.,,,
capture-phase0-video-005-tl-001,phase0-video-005-tl-001,phase0-video-005,0,7,Head & Skin / Head Template / Skin Tone navigation,,loading_or_transition,,transition_active,OBSERVED_PENDING_VERIFICATION,Navigation into Skin Details; prior Head Template and Skin Tone context is not indexed as newly selected appearance evidence.,,,
capture-phase0-video-005-tl-002,phase0-video-005-tl-002,phase0-video-005,8,8,SKIN DETAILS,None,selected_option_observed,phase0-frame-video-005-tl-002,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Details label is directly readable; neighboring thumbnail tiles are non-selected.,,,
capture-phase0-video-005-tl-003,phase0-video-005-tl-003,phase0-video-005,9,10,SKIN DETAILS,Freckles 2,selected_option_observed,phase0-frame-video-005-tl-003,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Details label is directly readable; neighboring thumbnail tiles are non-selected.,,,
capture-phase0-video-005-tl-004,phase0-video-005-tl-004,phase0-video-005,11,14,SKIN DETAILS,Scar 3,selected_option_observed,phase0-frame-video-005-tl-004,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Details label is directly readable; neighboring thumbnail tiles are non-selected.,,,
capture-phase0-video-005-tl-005,phase0-video-005-tl-005,phase0-video-005,15,16,SKIN DETAILS,Scar 2,selected_option_observed,phase0-frame-video-005-tl-005,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Details label is directly readable; neighboring thumbnail tiles are non-selected.,,,
capture-phase0-video-005-tl-006,phase0-video-005-tl-006,phase0-video-005,17,18,SKIN DETAILS,Redness 2,selected_option_observed,phase0-frame-video-005-tl-006,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Details label is directly readable; neighboring thumbnail tiles are non-selected.,,,
capture-phase0-video-005-tl-007,phase0-video-005-tl-007,phase0-video-005,19,20,SKIN DETAILS,Redness 3,selected_option_observed,phase0-frame-video-005-tl-007,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Details label is directly readable; neighboring thumbnail tiles are non-selected.,,,
capture-phase0-video-005-tl-008,phase0-video-005-tl-008,phase0-video-005,21,22,SKIN DETAILS,Acne Scar 1,selected_option_observed,phase0-frame-video-005-tl-008,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Details label is directly readable; neighboring thumbnail tiles are non-selected.,,,
