itemID,itemType,category,nativeLabel,classification,consistencyFingerprint,materialInconsistency,geometricMatchingEligible,geometricMatchingGate,blockingReasons
CF27_XBOXUNKNOWN_RTG_HEAD_001,CATALOG_IMAGE_RECORD,Head Template,Face 1,RECAPTURE_REQUIRED,a61fc60bbca27d1b6f3084546eb9cd2d150e9715ea372cadd21190dd71d78074,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_002,CATALOG_IMAGE_RECORD,Head Template,Face 2,RECAPTURE_REQUIRED,e944aed3b079e9e96a0314491435570ea05a3e274bc8dd63927b48bf1ef900c0,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_003,CATALOG_IMAGE_RECORD,Head Template,Face 3,RECAPTURE_REQUIRED,879cfd01348b7cbbe99b865d75cfd639dd7f7a82c5d97ed806853c081a511abe,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_004,CATALOG_IMAGE_RECORD,Head Template,Face 4,RECAPTURE_REQUIRED,9e9733ca7100429bf18879e5114b53e026b57515489db125aaf27eaf1986987f,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_005,CATALOG_IMAGE_RECORD,Head Template,Face 5,RECAPTURE_REQUIRED,6fdf6a0f25c17fd0af48037631bcb818431f8a6f7f9d6dda7e9032e6d89ed8ea,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_006,CATALOG_IMAGE_RECORD,Head Template,Face 6,RECAPTURE_REQUIRED,6403fa959ec0e89e0c27d0a2be24795da74b1dcd97bd73703ce16b9baab49eae,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_007,CATALOG_IMAGE_RECORD,Head Template,Face 7,RECAPTURE_REQUIRED,b2d7a727474424b91ac168ae2c42deb9fd3a14faadcdcfa391ad5200c87b919b,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_008,CATALOG_IMAGE_RECORD,Head Template,Face 8,RECAPTURE_REQUIRED,0eb7491d6f2f3aa52436eb17705ce984525527e778f80335c7162b0374ac80b3,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_009,CATALOG_IMAGE_RECORD,Head Template,Face 9,RECAPTURE_REQUIRED,53a5b840cc5a23cca78d9dd83fb90c8b98aeed1b058faf5eb9cbaa5103480682,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_010,CATALOG_IMAGE_RECORD,Head Template,Face 10,RECAPTURE_REQUIRED,49547444ee153694283b682ab94099912eb2bcf8ca267b148931ed98226da01f,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_011,CATALOG_IMAGE_RECORD,Head Template,Face 11,RECAPTURE_REQUIRED,aec49be886e8f3a71c6bf6c49602d7c5f02985e32570bb8e8f7ac64de065c46a,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_012,CATALOG_IMAGE_RECORD,Head Template,Face 12,RECAPTURE_REQUIRED,61509a19a8a9fb798146933254eaa3a83d93d44deb178872f2499f446c8fcf9b,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_013,CATALOG_IMAGE_RECORD,Head Template,Face 13,RECAPTURE_REQUIRED,684ed6fcfc7252f3d55ebdf5101daa73c34e9d31f390428457a56246f6291294,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_014,CATALOG_IMAGE_RECORD,Head Template,Face 14,RECAPTURE_REQUIRED,55537be626d66f48e049e6b73eb1e421e3d4eaa3ab18efd1ad18472511de6154,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_016,CATALOG_IMAGE_RECORD,Head Template,Face 16,RECAPTURE_REQUIRED,d5e87ccf047c321fdff80ba5e2c34c2d9c34ec1f73c04f84e8dcb2fd4f521d3f,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_017,CATALOG_IMAGE_RECORD,Head Template,Face 17,RECAPTURE_REQUIRED,8bddb3dfb4bf07908889c792a4979a47dca2bda263d2786ab9fd96d06661254e,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_018,CATALOG_IMAGE_RECORD,Head Template,Face 18,RECAPTURE_REQUIRED,9de1b9a83481a23fe9ed013e35e951a03c60401a1f9c9cdd7eee781252fcd14d,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_021,CATALOG_IMAGE_RECORD,Head Template,Face 21,RECAPTURE_REQUIRED,8ba65a98a08cdf1cbb399669a05fbccb10c356f010a63c48607fb3066f78a965,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_022,CATALOG_IMAGE_RECORD,Head Template,Face 22,RECAPTURE_REQUIRED,256facdcd4648184d49111c429ca33b1ee11fbffa898e040a7ec6574f87d389e,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_023,CATALOG_IMAGE_RECORD,Head Template,Face 23,RECAPTURE_REQUIRED,aff43fc2170772d52134fa02c3e6361388486747c080bfca90b050af1a08b6af,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_024,CATALOG_IMAGE_RECORD,Head Template,Face 24,RECAPTURE_REQUIRED,9bbf3f533b5261c34ee8c4ecebc4eccb5d641634703cfed12cf30785950dc64e,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_027,CATALOG_IMAGE_RECORD,Head Template,Face 27,RECAPTURE_REQUIRED,110d6308daac2b1100be376d84200e6f28686194adfefd4136d253d1625e3d64,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_028,CATALOG_IMAGE_RECORD,Head Template,Face 28,RECAPTURE_REQUIRED,fe55762e838926672ccd5d0e0abfab4a85203e00a887ab2bae731b7ac981f84b,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_029,CATALOG_IMAGE_RECORD,Head Template,Face 29,RECAPTURE_REQUIRED,6a41adffb446e12df1fd152999421c03257cb80736953e6d8d9705586b424ab1,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_030,CATALOG_IMAGE_RECORD,Head Template,Face 30,RECAPTURE_REQUIRED,99a72be403a9b4efba14a657e44c8195b5848a9ea09802027aa4d2128d26b4f1,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Menu evidence only; matching views are missing or inadequate.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_HEAD_031,CATALOG_IMAGE_RECORD,Head Template,Face 31,RECAPTURE_REQUIRED,6eb108877cf087b4467e3cfc5c83eb2bebc685b75c6431bbed89362bad044935,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical head-template comparison settings are not locked.; Angle, zoom, distance, crop, lighting, and obstruction checks are not approved for production geometry.; Current head record is explicitly not suitable for production geometric comparison.; Menu evidence only; matching views are missing or inadequate.; Transition contamination is present in the source observation."
CF27_XBOXUNKNOWN_RTG_SKINTONE_001,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 01,COMPARISON_LIMITED,669c995b1353ad91ecbf8160704aa34f61682ae2372f3b478b5fd013510d8afc,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_002,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 02,COMPARISON_LIMITED,3b457e7d2e37f6712a9c75cb9c0a7e4e7321e53c3cc4562d4c41bea32852ae6c,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_003,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 03,COMPARISON_LIMITED,9feb71d6908656cf1372da1e0bca24d060b3fc95649eeebd7c9ace68ada4ca9f,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_004,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 04,COMPARISON_LIMITED,af717117a2de30b3d92ad8e0f46d6fae69cba47e43a858be5a357d3b2b867883,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_006,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 06,COMPARISON_LIMITED,ee08923a8bbb253844e9b9e6b2b26a5c4adcbfeaff1fb5f44da0cde9e4c8b93c,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_007,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 07,COMPARISON_LIMITED,f2e5e1bca3a29eaa0d2172d4ee832810c16afb2012023c055e7f2f22ccf23f21,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_008,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 08,COMPARISON_LIMITED,df14259b98d2aa1fbb518736e64878d86b631c0608bf8145f8afa6719a852412,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_009,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 09,COMPARISON_LIMITED,589f73e4c9b5a889dd5339f62f81f52224c72afa0ea17de2ea48a4b4164262e3,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_010,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 10,COMPARISON_LIMITED,58b8954bf7dfc4bb7328e82f4f823b589f6e349a9176406d0fb06cc9b1d6caa3,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_011,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 11,COMPARISON_LIMITED,95791dce6bb6227a6dd1ade6bd5ca5d6823cf81af7d156fc60cd2547ac183937,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_012,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 12,COMPARISON_LIMITED,a3323a71cf3f5ac5ebfb107bfe0a17182f5582dc54404a9f04a79c3c2fac6a37,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_013,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 13,COMPARISON_LIMITED,ef7eaa4184a5694605cae8f7c2722533212a6f60728d55e50e740b9c0087c79b,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_017,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 17,COMPARISON_LIMITED,9b06fecd4d64de39e313517b043532e72fe5ed3b96651028dbd0af69f9b28bde,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_018,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 18,COMPARISON_LIMITED,3f53f605f38f05334b15cdcaf549ca27019860e44942cabe881a580639450d25,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_019,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 19,COMPARISON_LIMITED,da5f3b01b88cf534327a8cca2e1bb9d23e1c13b842dfcd7e20db7b53fd26a6db,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_020,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 20,COMPARISON_LIMITED,9af58c7830f2c70d54c3d57109fc92f77be18106d73330223be11375746a9f13,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_021,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 21,COMPARISON_LIMITED,f78f3cec6b39853f22200e76c3a6aed46501d279e554d7605bad6db8f5d63ea8,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_022,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 22,COMPARISON_LIMITED,e1999747921a138d226e42b41185102811a88abafdf11ff47aecab7707e38373,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_023,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 23,COMPARISON_LIMITED,983187f1b42253d8c370491460f2a26561e216d6739ff71568898b64bf4735bf,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_024,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 24,COMPARISON_LIMITED,49780c0cf466ba64e837dcd7356af929880d775dbb4e646ac116c667d62c2c23,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINTONE_029,CATALOG_IMAGE_RECORD,Skin Tone,Skin Tone 29,COMPARISON_LIMITED,154be9e61213b0dcaa0fc56615311a6b0d61e0af126364c79564168bc799b8ec,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_001,CATALOG_IMAGE_RECORD,Skin Details,None,COMPARISON_LIMITED,78f861806c62f30abf34d1df3598bbc73f2f79ca4f477c672993fffeda9bd103,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002,CATALOG_IMAGE_RECORD,Skin Details,Freckles 2,COMPARISON_LIMITED,f86da8e3e981217af62d0618b267f0aae6c3321d2886de005e744d50ffba18c1,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003,CATALOG_IMAGE_RECORD,Skin Details,Scar 3,COMPARISON_LIMITED,bf03dd105b446609f51749827a49bc01a334e077aa6b24eecba89764a6e851f5,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_004,CATALOG_IMAGE_RECORD,Skin Details,Scar 2,COMPARISON_LIMITED,5459c953e29091ee01135fd2c9f2c70b73b6db9eb648929c2e07ac6b65f1c77e,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005,CATALOG_IMAGE_RECORD,Skin Details,Scar 1,COMPARISON_LIMITED,25203d45e39918bc02ed8671c231ecb03c5eab55fd760e486df91a823eb5d68b,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_006,CATALOG_IMAGE_RECORD,Skin Details,Acne Scar 1,COMPARISON_LIMITED,46dcd08616ee7028d6e3781c968ab83d00778d87647571c168f522580bc61577,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_007,CATALOG_IMAGE_RECORD,Skin Details,Redness 3,COMPARISON_LIMITED,02019f3129e4f427d390eb8d1695c41f05db13f8eaa0392e4dd793329374e302,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_008,CATALOG_IMAGE_RECORD,Skin Details,Redness 2,COMPARISON_LIMITED,fdfc14f5f15580e1450a46b98abd5c39da4c8a4a94c094a31d02725df0e0916d,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_009,CATALOG_IMAGE_RECORD,Skin Details,Redness 1,COMPARISON_LIMITED,d00245c800a2f4c3150509d5b8bf2433cefcf515bdb363cc41a1a19fcf42050a,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_010,CATALOG_IMAGE_RECORD,Skin Details,Freckles 1,COMPARISON_LIMITED,261b6a4c5ca715113584a1b33fb9becc9e8c8802c2b4936ea96abcb0a00dccc4,false,false,NOT_GEOMETRIC_MATCHING_INPUT,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified."
CF27_XBOXUNKNOWN_RTG_EYESHAPE_001,CATALOG_IMAGE_RECORD,Eye Shape,Almond,RECAPTURE_REQUIRED,7cf08a3a1cb5a97a50e6d3617201dbc1b9cbcb4338ad3e4017302d72dcda7fe4,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified.; Geometry-relevant appearance-control imagery is not standardized for geometric matching."
CF27_XBOXUNKNOWN_RTG_EYESHAPE_002,CATALOG_IMAGE_RECORD,Eye Shape,None,RECAPTURE_REQUIRED,eb41f4fd404ce1fba2d0d109d0b242301ea407e3632315e3f9b32c2ce79193d2,true,false,BLOCKED_STANDARDIZED_CAPTURE_REQUIRED,"Canonical capture settings are not fully locked.; Selector boundaries, defaults, and production evidence are not verified.; Geometry-relevant appearance-control imagery is not standardized for geometric matching."
