"captureID","section","priority","exactMenuPath","exactCategory","startingOption","endingOption","performTwoCounts","nativeIndexMustRemainVisible","requiredViews","rearViewRequired","canonicalHead","canonicalHairstyle","facialHairSetting","skinSetting","bodySetting","lightingRequirement","cameraRequirement","zoomRequirement","recommendedRecordingLength","videoOrScreenshotsPreferable","existingFootageCanBeReused","whyRequired","acceptanceCriteria","relatedSourceQueueItems","productionStatus","verificationStatus"
"GFM-CAP-011","must_recapture_because_current_evidence_is_inadequate","P0","Create Player > Player > Appearance > Head & Skin > Nose","Nose","First available Nose value; current evidence includes Aquiline but first boundary must be shown","Final available Nose value plus boundary or wrap evidence","yes","yes","MENU; FRONT; LEFT_3Q; LEFT_PROFILE; RIGHT_3Q; RIGHT_PROFILE","no","Canonical head from GFM-CAP-005","Canonical low-obstruction hairstyle","None or lowest-obstruction setting","Stable skin value","Stable player setup","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","10-18 minutes","Video preferred","Yes for partial labels/order; not enough for profile evidence or final count.","Nose is geometry-relevant and current evidence lacks reliable profile views and selector boundaries.","Each value has readable menu evidence plus front and profile/three-quarter frames.; Transition/loading frames are rejected.; No subjective ethnicity or attractiveness terms are recorded.","RQ-019; RQ-022; appearance-control-nose-recapture","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
"GFM-CAP-012","must_recapture_because_current_evidence_is_inadequate","P0","Create Player > Player > Appearance > Head & Skin > Ear Shape","Ear Shape","First available Ear Shape value; current evidence includes None but first boundary must be shown","Final available Ear Shape value plus boundary or wrap evidence","yes","yes","MENU; LEFT_3Q; LEFT_PROFILE; RIGHT_3Q; RIGHT_PROFILE","no","Canonical head from GFM-CAP-005","Canonical hairstyle that exposes ears if visibly available; otherwise record obstruction","None or lowest-obstruction setting","Stable skin value","Stable player setup","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","8-15 minutes","Video preferred","Yes for partial labels/order; not enough for unobstructed side evidence.","Ear Shape needs side evidence, hairstyle-obstruction review, and complete selector boundary proof.","At least one ear is clearly visible per value, and both-side visibility is recorded only when actually shown.; Hair obstruction is documented.; Complete count and wrap/no-wrap proof are visible.","RQ-019; RQ-023; appearance-control-ear-shape-recapture","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
"GFM-CAP-013","must_capture_before_phase0_catalog_completion","P1","Create Player > Player > Appearance > Head & Skin > Mouth Shape; then Jaw Shape; then Chin","Mouth, Jaw, Chin face-shape controls","First visible selected value in Mouth Shape, then first visible selected value in Jaw Shape, then first visible selected value in Chin","Final value and boundary/wrap for each of Mouth Shape, Jaw Shape, and Chin","yes","yes","MENU; FRONT; LEFT_3Q_OR_PROFILE_WHERE_RELEVANT; RIGHT_3Q_OR_PROFILE_WHERE_RELEVANT","no","Canonical head from GFM-CAP-005","Canonical low-obstruction hairstyle","None or lowest-obstruction setting","Stable skin value","Stable player setup","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","15-30 minutes","Video preferred","Only for proof that these menu labels exist in the Head & Skin hierarchy; no option values are currently cataloged.","Mouth, Jaw, and Chin are required geometry controls but have no option records yet.","Every selected value is directly visible and ordered.; Each category has first/final/wrap proof.; Values are not inferred from neighboring thumbnails or expected game behavior.","RQ-009; RQ-010; RQ-011; RQ-019","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
"GFM-CAP-014","must_capture_before_phase0_catalog_completion","P1","Create Player > Player > Appearance > Hair","Hair menu hierarchy","Hair menu entry","Last visible Hair submenu item after scrolling","no","yes","FULL_MENU_LIST; SCROLL_CONTINUATION; LOCK_OR_WARNING_STATE_IF_VISIBLE","no","Canonical head from GFM-CAP-005","Do not change values; menu-map capture only","Do not change values; menu-map capture only","Stable skin value","Stable player setup","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","3-6 minutes","Video preferred","Only for confirming Hair menu entry exists; submenu hierarchy is not complete.","Hairstyles, hair colors, facial hair, and facial-hair colors need exact native menu location before option capture.","Every visible Hair submenu/control is readable in native order.; Locks, dependencies, hidden controls, or missing controls are recorded without assumptions.","RQ-012","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
"GFM-CAP-015","must_capture_before_phase0_catalog_completion","P1","Create Player > Player > Appearance > Hair > exact visible hairstyle control recorded in GFM-CAP-014","Hairstyles","First visible selected hairstyle value","Final selected hairstyle value plus boundary or wrap evidence","yes","yes","MENU; FRONT; LEFT_3Q; LEFT_PROFILE; REAR; RIGHT_PROFILE; RIGHT_3Q","yes","Canonical head from GFM-CAP-005","Hairstyle value changes are the subject of this capture","None or lowest-obstruction setting","Stable skin value","Stable player setup","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","20-45 minutes depending on count","Video preferred","No complete hairstyle catalog evidence exists.","Hairstyles are required appearance recommendations and can obstruct head/ear evidence.","Every selected hairstyle has readable menu evidence and required angle views.; Rear view is captured for hair shape/length.; Researcher-applied visual metadata stays separate from native labels.","RQ-013; RQ-019","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
"GFM-CAP-016","must_capture_before_phase0_catalog_completion","P1","Create Player > Player > Appearance > Hair > exact visible hair-color control recorded in GFM-CAP-014","Hair colors","First visible selected hair-color value","Final selected hair-color value plus boundary or wrap evidence","yes","yes","MENU; FRONT_REPRESENTATIVE_FRAME_PER_VALUE; LEFT_3Q_IF_NEEDED_FOR_VISIBILITY","no","Canonical head from GFM-CAP-005","One canonical hairstyle that shows color clearly","None or lowest-obstruction setting","Stable skin value","Stable player setup","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","8-15 minutes","Video preferred; screenshots useful for subtle color differences","No complete hair-color evidence exists.","Hair color is a separate recommendation surface and must not be guessed from generic color names.","Every selected color has native label/index evidence and stable visual frame.; Lighting remains constant.; Unreadable native labels are queued for manual review.","RQ-014; RQ-019","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
"GFM-CAP-017","must_capture_before_phase0_catalog_completion","P1","Create Player > Player > Appearance > Hair > exact visible facial-hair control recorded in GFM-CAP-014","Facial hair","None if visibly present; otherwise first visible selected facial-hair value","Final selected facial-hair value plus boundary or wrap evidence","yes","yes","MENU; FRONT; LEFT_3Q; LEFT_PROFILE; RIGHT_3Q; RIGHT_PROFILE","no","Canonical head from GFM-CAP-005","Canonical low-obstruction hairstyle","Facial-hair value changes are the subject of this capture","Stable skin value","Stable player setup","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","15-30 minutes depending on count","Video preferred","No complete facial-hair catalog evidence exists.","Facial-hair presence and style are required appearance recommendations and must include None if available.","None and every selected option are directly recorded where present.; Coverage metadata can be reviewed from stable front and side views.; Dependencies or locked states are documented.","RQ-015; RQ-019","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
"GFM-CAP-018","must_capture_before_phase0_catalog_completion","P1","Create Player > Player > Appearance > Hair > exact visible facial-hair-color control recorded in GFM-CAP-014","Facial-hair colors","First visible selected facial-hair-color value","Final selected facial-hair-color value plus boundary or wrap evidence","yes","yes","MENU; FRONT_REPRESENTATIVE_FRAME_PER_VALUE; LEFT_3Q_IF_NEEDED_FOR_VISIBILITY","no","Canonical head from GFM-CAP-005","Canonical low-obstruction hairstyle","One visible facial-hair option that makes color review possible","Stable skin value","Stable player setup","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","8-15 minutes","Video preferred; screenshots useful for subtle colors","No complete facial-hair-color evidence exists.","Facial-hair color may be independent from hair color and cannot be assumed.","Control is captured if available, or absence is visibly proven.; Every selected value has readable native evidence and stable visual frame.","RQ-016; RQ-019","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
"GFM-CAP-019","dependency_tests","P1","Create Player with baseline from GFM-CAP-005; test Head & Skin, Hair, Player/body controls one variable at a time","Dependency tests","Baseline canonical state from GFM-CAP-005","Last dependency variable tested and baseline restored where possible","no","yes","BASELINE_MENU_STATE; CHANGED_VARIABLE; OBSERVED_COUNT_OR_ORDER_CHANGE; RETURN_TO_BASELINE_WHERE_POSSIBLE","no","Baseline canonical head unless head is the changed variable","Baseline canonical hairstyle unless hairstyle is the changed variable","Baseline facial-hair setting unless facial hair is the changed variable","Baseline skin setting unless skin is the changed variable","Test position, archetype, height, weight, body type, online state, EA account state, edition, entitlements, and patch only where safe and visible","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","15-30 minutes, split by variable if needed","Video preferred","Partially for baseline path only; no structured dependency matrix is complete.","Production catalog records must know whether options vary by mode, platform, body setup, account state, entitlements, patch, or other controls.","Only one variable changes per test.; Expected versus observed count/order/geometry/label changes are visible.; Uncertainty is recorded instead of resolved by assumption.","RQ-020","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
"GFM-CAP-020","second_verifier_captures","P0_AFTER_PRIMARY_CAPTURE","Same paths as GFM-CAP-001 through GFM-CAP-018, performed independently by the second verifier on the same shipping-game environment where possible","Second-person verification","Verifier starts from environment proof, then independently checks menu counts and selected catalog records","Verifier sign-off or discrepancy/recapture request","yes","yes","ENVIRONMENT_PROOF; INDEPENDENT_MENU_COUNTS; FRONT_VIEW_CHECKS; DETERMINISTIC_SECONDARY_ANGLE_SAMPLE","yes","Use the primary package records selected for second review","Match primary canonical setup for sampled records","Match primary canonical setup for sampled records","Match primary canonical setup for sampled records","Match primary canonical setup for sampled records","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","As needed after primary package is ready; split by category","Video preferred for counts; screenshots acceptable for static file-existence review evidence","No as independent verification; primary footage remains the object being verified.","No record may become production verified without genuine second-person verification and discrepancy handling.","Verifier observations are stored separately from primary observations.; Disagreements open discrepancy records instead of averaging.; Allowed verification statuses only are used.","second-person-verification-gate","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
"GFM-CAP-021","nice_to_have_evidence","P2","Any capture session used above; begin and end with a full-screen context slate showing game mode, menu path, and clip purpose where safe","Operator context slates and backup evidence","Full-screen context before a planned capture","Full-screen context after capture completes","no","no","CONTEXT_SLATE; CLIP_END_STATE","no","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Even front lighting on the game screen capture; avoid glare, reflections, notification overlays, and unreadable menu text.","Use Xbox screen recording or capture-card recording when available; if phone recording is the only option, keep the screen square, stable, and readable.","Keep menu label/index readable and the player preview large enough to evaluate the face; do not change zoom/framing mid-category unless the game requires it.","10-20 seconds per clip","Video preferred","Existing filenames/manifests are useful but context slates would reduce ambiguity.","Nice-to-have provenance that makes tomorrow imports easier and reduces relabeling risk.","Clip purpose and start/end state are visible without exposing secrets.; No master evidence is renamed or edited to add the slate.","RQ-021","NOT_PRODUCTION_DATA","REQUESTED_NOT_CAPTURED"
