candidateID,category,claimedNativeLabel,claimedNativeIndex,claimedNativeOrder,evidenceSupportState,sourceVideoIDs,timestamps,frontViewEvidence,secondarySampleRequired,productionEligibilityState
CF27_XBOXUNKNOWN_RTG_HEAD_006,Heads,Face 6,6,6,SUPPORTED_WITH_NOTES,phase0-video-002,60-68,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_007,Heads,Face 7,7,7,SUPPORTED_WITH_NOTES,phase0-video-002,54-59,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_008,Heads,Face 8,8,8,SUPPORTED_WITH_NOTES,phase0-video-002,49-53,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_009,Heads,Face 9,9,9,SUPPORTED_WITH_NOTES,phase0-video-002,75-79,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_010,Heads,Face 10,10,10,SUPPORTED_WITH_NOTES,phase0-video-002,80-88,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_011,Heads,Face 11,11,11,SUPPORTED_WITH_NOTES,phase0-video-002,89-94,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_013,Heads,Face 13,13,13,SUPPORTED_WITH_NOTES,phase0-video-003,21-29,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_014,Heads,Face 14,14,14,SUPPORTED_WITH_NOTES,phase0-video-003,14-20,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_017,Heads,Face 17,17,17,SUPPORTED_WITH_NOTES,phase0-video-003,30-39,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_018,Heads,Face 18,18,18,SUPPORTED_WITH_NOTES,phase0-video-003,40-49,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_021,Heads,Face 21,21,21,SUPPORTED_WITH_NOTES,phase0-video-003,80-89,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_022,Heads,Face 22,22,22,SUPPORTED_WITH_NOTES,phase0-video-003,70-79,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_023,Heads,Face 23,23,23,SUPPORTED_WITH_NOTES,phase0-video-003,50-59,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_024,Heads,Face 24,24,24,SUPPORTED_WITH_NOTES,phase0-video-003,60-69,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_027,Heads,Face 27,27,27,SUPPORTED_WITH_NOTES,phase0-video-003,90-99,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_028,Heads,Face 28,28,28,SUPPORTED_WITH_NOTES,phase0-video-003,100-109,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_029,Heads,Face 29,29,29,SUPPORTED_WITH_NOTES,phase0-video-003,127-133.02,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_030,Heads,Face 30,30,30,SUPPORTED_WITH_NOTES,phase0-video-003,120-126,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_031,Heads,Face 31,31,31,SUPPORTED_WITH_NOTES,phase0-video-003,110-119,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_JAWSHAPE_SQUARE,Jaw Shape,Square,2,2,SUPPORTED_WITH_NOTES,CF27_XBOX_SOURCE_2026_08_02_001,220-229,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_MOUTHSHAPE_HEAVY,Mouth Shape,Heavy,7,7,SUPPORTED_WITH_NOTES,CF27_XBOX_SOURCE_2026_08_02_001,210-219,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_NOSE_001,Nose,None,1,1,SUPPORTED_WITH_NOTES,phase0-video-008,15-15,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_NOSE_002,Nose,Hooked,2,2,SUPPORTED_WITH_NOTES,phase0-video-008,16-18,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_NOSE_003,Nose,Button,3,3,SUPPORTED_WITH_NOTES,phase0-video-008,19-20,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_NOSE_004,Nose,Nubian,4,4,SUPPORTED_WITH_NOTES,phase0-video-008,21-22,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_NOSE_006,Nose,Roman,6,6,SUPPORTED_WITH_NOTES,phase0-video-008,25-27,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_NOSE_007,Nose,Funnel,7,7,SUPPORTED_WITH_NOTES,phase0-video-008,23-24,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_001,Skin Details,None,1,1,USER_CONFIRMATION_REQUIRED,phase0-video-005,8-8,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002,Skin Details,Freckles 2,2,2,USER_CONFIRMATION_REQUIRED,phase0-video-005,9-10,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003,Skin Details,Scar 3,3,3,USER_CONFIRMATION_REQUIRED,phase0-video-005,11-14,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_004,Skin Details,Scar 2,4,4,USER_CONFIRMATION_REQUIRED,phase0-video-005,15-16,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005,Skin Details,Scar 1,5,5,USER_CONFIRMATION_REQUIRED,phase0-video-005,23-24,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_006,Skin Details,Acne Scar 1,6,6,USER_CONFIRMATION_REQUIRED,phase0-video-005,21-22,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_007,Skin Details,Redness 3,7,7,USER_CONFIRMATION_REQUIRED,phase0-video-005,19-20,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_008,Skin Details,Redness 2,8,8,USER_CONFIRMATION_REQUIRED,phase0-video-005,17-18,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_009,Skin Details,Redness 1,9,9,USER_CONFIRMATION_REQUIRED,phase0-video-005,25-26,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_010,Skin Details,Freckles 1,10,10,USER_CONFIRMATION_REQUIRED,phase0-video-005,27-31.72,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_001,Skin Tone,Skin Tone 01,1,1,USER_CONFIRMATION_REQUIRED,phase0-video-004,45-46,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_002,Skin Tone,Skin Tone 02,2,2,USER_CONFIRMATION_REQUIRED,phase0-video-004,47-47,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_003,Skin Tone,Skin Tone 03,3,3,USER_CONFIRMATION_REQUIRED,phase0-video-004,48-49,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_004,Skin Tone,Skin Tone 04,4,4,USER_CONFIRMATION_REQUIRED,phase0-video-004,12-13,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_006,Skin Tone,Skin Tone 06,6,6,USER_CONFIRMATION_REQUIRED,phase0-video-004,29-30,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_007,Skin Tone,Skin Tone 07,7,7,USER_CONFIRMATION_REQUIRED,phase0-video-004,27-28,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_008,Skin Tone,Skin Tone 08,8,8,USER_CONFIRMATION_REQUIRED,phase0-video-004,25-26,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_009,Skin Tone,Skin Tone 09,9,9,USER_CONFIRMATION_REQUIRED,phase0-video-004,8-11,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_011,Skin Tone,Skin Tone 11,11,11,USER_CONFIRMATION_REQUIRED,phase0-video-004,50-51,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_012,Skin Tone,Skin Tone 12,12,12,USER_CONFIRMATION_REQUIRED,phase0-video-004,43-44,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_013,Skin Tone,Skin Tone 13,13,13,USER_CONFIRMATION_REQUIRED,phase0-video-004,39-40,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_017,Skin Tone,Skin Tone 17,17,17,USER_CONFIRMATION_REQUIRED,phase0-video-004,37-38,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_018,Skin Tone,Skin Tone 18,18,18,USER_CONFIRMATION_REQUIRED,phase0-video-004,20-22,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_019,Skin Tone,Skin Tone 19,19,19,USER_CONFIRMATION_REQUIRED,phase0-video-004,17-19,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_020,Skin Tone,Skin Tone 20,20,20,USER_CONFIRMATION_REQUIRED,phase0-video-004,15-16,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_021,Skin Tone,Skin Tone 21,21,21,USER_CONFIRMATION_REQUIRED,phase0-video-004,23-24,MISSING_FROM_CURRENT_DERIVATIVES,yes,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_022,Skin Tone,Skin Tone 22,22,22,USER_CONFIRMATION_REQUIRED,phase0-video-004,35-36,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_023,Skin Tone,Skin Tone 23,23,23,USER_CONFIRMATION_REQUIRED,phase0-video-004,52-53.82,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_024,Skin Tone,Skin Tone 24,24,24,USER_CONFIRMATION_REQUIRED,phase0-video-004,33-34,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_029,Skin Tone,Skin Tone 29,29,29,USER_CONFIRMATION_REQUIRED,phase0-video-004,31-32,MISSING_FROM_CURRENT_DERIVATIVES,no,NOT_ELIGIBLE
