sampleID,candidateID,category,requiredSecondaryViews,sourceVideoIDs,exactUsefulTimestamps,selectionHash,requiredAction,reviewed,verifierObservation,result,missingAngleLimitation,notes
supported-subset-secondary-angle-jaw-shape-001,CF27_XBOXUNKNOWN_RTG_JAWSHAPE_SQUARE,Jaw Shape,LEFT_3Q;RIGHT_3Q,CF27_XBOX_SOURCE_2026_08_02_001,220-229,1cf8dc0d0a8c1de816b984d1ebf74541aee9e3b5ebe8c899abb3823fc8f5cb70,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-mouth-shape-001,CF27_XBOXUNKNOWN_RTG_MOUTHSHAPE_HEAVY,Mouth Shape,LEFT_3Q;RIGHT_3Q,CF27_XBOX_SOURCE_2026_08_02_001,210-219,40c1463ea62b00730c1ac6215074d282228a6947655cc917cb35ce9d134d2282,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-nose-001,CF27_XBOXUNKNOWN_RTG_NOSE_003,Nose,LEFT_3Q;RIGHT_3Q,phase0-video-008,19-20,40c4cf1603d3e54a18b0efe8bd492a5f908baebe17aea9bedd7a21be6c24f852,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-nose-002,CF27_XBOXUNKNOWN_RTG_NOSE_004,Nose,LEFT_3Q;RIGHT_3Q,phase0-video-008,21-22,48401f9c9092c0ba61d93c82eddc5c8c68c01ec4f082ae2a66ec0af3c913df18,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-skin-details-001,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003,Skin Details,SECONDARY_ANGLE_IF_AVAILABLE,phase0-video-005,11-14,0d5f7d34a90a31fb7dca15c2a3a8118999c71c2b2a844f2264815f4ad52b9ed3,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-skin-details-002,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005,Skin Details,SECONDARY_ANGLE_IF_AVAILABLE,phase0-video-005,23-24,21b2067316bc1ddaa2b1dca7cba6f61c146ec2b2810145d1a47518a6ca9fd9aa,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-skin-details-003,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002,Skin Details,SECONDARY_ANGLE_IF_AVAILABLE,phase0-video-005,9-10,4e56bb26bca2114bee194bce76de5961a3cc90fe0211d912b10b821568e694ba,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-skin-tone-001,CF27_XBOXUNKNOWN_RTG_SKINTONE_004,Skin Tone,SECONDARY_ANGLE_IF_AVAILABLE,phase0-video-004,12-13,02e8b598e0f3a40311b5f2498c99e9c9ca73308e310fc4f06ce4dcecd02e1df4,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-skin-tone-002,CF27_XBOXUNKNOWN_RTG_SKINTONE_018,Skin Tone,SECONDARY_ANGLE_IF_AVAILABLE,phase0-video-004,20-22,0610fcabe6146bcfbb228238832c543d1ab2ea9406ba1718346175cbac75e896,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-skin-tone-003,CF27_XBOXUNKNOWN_RTG_SKINTONE_008,Skin Tone,SECONDARY_ANGLE_IF_AVAILABLE,phase0-video-004,25-26,17dedc2dbee9d26fc03ae2af971742c2921c33783ab36478956d815742c1a0eb,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-skin-tone-004,CF27_XBOXUNKNOWN_RTG_SKINTONE_021,Skin Tone,SECONDARY_ANGLE_IF_AVAILABLE,phase0-video-004,23-24,2a91484e04ffd31d3c4e58e0c45cb7d79d4cab5b477d65cb7a35dd52f9ad2474,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
supported-subset-secondary-angle-skin-tone-005,CF27_XBOXUNKNOWN_RTG_SKINTONE_007,Skin Tone,SECONDARY_ANGLE_IF_AVAILABLE,phase0-video-004,27-28,3b45074fb0146bdadcac600d9c96e25bb96f06baa8f57bb0ce6c41b5a1b58164,"Review secondary-angle evidence after independent native counts and front-view checks. Record missing, mismatched, or unusable angles as discrepancies.",,,,,
